sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012558221817016602
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011542081832885742
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,2,0.011537313461303711
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.011008501052856445
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010902643203735352
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01142740249633789
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011256933212280273
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,2,0.011939048767089844
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.01114654541015625
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010903596878051758
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011387109756469727
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011240243911743164
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,2,0.01153564453125
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.011115550994873047
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010911941528320312
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011096954345703125
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011099576950073242
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,2,0.011281490325927734
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.010927915573120117
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010789632797241211
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011316299438476562
0.1,10.0,1,1.0,1.0,0.5,0.3490627420933247,0.9955753381045037,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.012076616287231445
0.1,10.0,2,1.0,1.0,0.5,1.341607893231332,0.9799366115487013,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,2,0.011570215225219727
0.1,10.0,3,1.0,1.0,0.5,0.4165155425860674,0.9948362547323343,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.011072874069213867
0.1,10.0,4,1.0,1.0,0.5,1.4249770023142643,0.9768584402790814,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.01092386245727539
