sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.1,10.0,0,UniLassoCV,unilasso_cv,True,0.12368791965972545,0.9984504298589595,0.844589183191007,1.0,0.2682065316548075,0.7317934683451924,1.0,0.9452,27.4,2.0,3.411565589904785
0.1,10.0,1,UniLassoCV,unilasso_cv,True,0.33422539707184434,0.9955636721142476,0.7589865811117052,1.0,0.38734643734643737,0.6126535626535626,1.0,0.9343999999999999,32.8,2.0,3.1907714366912843
0.1,10.0,2,UniLassoCV,unilasso_cv,True,0.26074664704983885,0.9967269826578434,0.8236908380373427,1.0,0.2991060025542784,0.7008939974457216,1.0,0.9428000000000001,28.6,2.0,2.90171332359314
0.1,10.0,3,UniLassoCV,unilasso_cv,True,0.39455680216907557,0.994315624157664,0.8785029913184292,1.0,0.21497584541062803,0.7850241545893719,1.0,0.9488,25.6,2.0,2.848807668685913
0.1,10.0,4,UniLassoCV,unilasso_cv,True,0.32608878342260206,0.99588962677431,0.8268114054132291,1.0,0.2948731983214742,0.7051268016785259,1.0,0.9432,28.4,2.0,2.8601151943206786
0.5,2.0,0,UniLassoCV,unilasso_cv,True,0.6161341831722116,0.9922125686949324,0.8442705481822701,1.0,0.2690693725176484,0.7309306274823516,1.0,0.9451999999999998,27.4,2.0,2.9709325790405274
0.5,2.0,1,UniLassoCV,unilasso_cv,True,0.6687407921924824,0.990641817144265,0.782263558543882,1.0,0.35671368861024033,0.6432863113897597,1.0,0.9376,31.2,2.0,2.8650069713592528
0.5,2.0,2,UniLassoCV,unilasso_cv,True,0.6077982522620229,0.9924222253971561,0.8306564216806057,1.0,0.2888102957068474,0.7111897042931525,1.0,0.9436,28.2,2.0,2.8887603759765623
0.5,2.0,3,UniLassoCV,unilasso_cv,True,0.7086044281202507,0.9897542442791847,0.877459142769041,1.0,0.218005698005698,0.781994301994302,1.0,0.9488,25.6,2.0,2.8569299221038817
0.5,2.0,4,UniLassoCV,unilasso_cv,True,0.6150897044053059,0.992292184610303,0.8300767115356781,1.0,0.29027549717204887,0.7097245028279511,1.0,0.9436,28.2,2.0,2.854826784133911
1.0,1.0,0,UniLassoCV,unilasso_cv,True,2.8676964798013875,0.9636831629845239,0.8307645352312989,0.9800000000000001,0.27847108191935777,0.7215289180806422,0.9800000000000001,0.9456,27.2,2.0,2.9063783168792723
1.0,1.0,1,UniLassoCV,unilasso_cv,True,2.2140452599799465,0.9693550593930063,0.7702611233172515,0.97,0.36042620708916595,0.639573792910834,0.97,0.9391999999999999,30.4,2.0,2.875586414337158
1.0,1.0,2,UniLassoCV,unilasso_cv,True,2.3380931237669498,0.9711146387857392,0.8257584624969322,0.99,0.2911091462815601,0.7088908537184399,0.99,0.944,28.0,2.0,2.870842933654785
1.0,1.0,3,UniLassoCV,unilasso_cv,True,2.6110773540633403,0.9626793550937972,0.8814995468094452,1.0,0.2113390313390313,0.7886609686609687,1.0,0.9492,25.4,2.0,2.9038220405578614
1.0,1.0,4,UniLassoCV,unilasso_cv,True,2.255568613369796,0.9721698445831661,0.8234100448690114,1.0,0.2997993066958584,0.7002006933041416,1.0,0.9428000000000001,28.6,2.0,2.875824499130249
1.5,0.67,0,UniLassoCV,unilasso_cv,True,6.0423369542431615,0.9247580720934527,0.8134780720798958,0.9400000000000001,0.28192081736909325,0.7180791826309069,0.9400000000000001,0.9476000000000001,26.2,2.0,2.916277360916138
1.5,0.67,1,UniLassoCV,unilasso_cv,True,4.924728988009304,0.9340003235053264,0.7556003080477474,0.9400000000000001,0.3675414240931483,0.6324585759068518,0.9400000000000001,0.9404,29.8,2.0,2.888844347000122
1.5,0.67,2,UniLassoCV,unilasso_cv,True,5.5222955756864,0.9324284458834267,0.8108069604653455,0.96,0.2971663508904888,0.7028336491095113,0.96,0.9452,27.4,2.0,2.8800967216491697
1.5,0.67,3,UniLassoCV,unilasso_cv,True,6.178739564792334,0.9140496940544891,0.8663508913978978,0.97,0.21630112721417066,0.7836988727858293,0.97,0.9503999999999999,24.8,2.0,2.913652801513672
1.5,0.67,4,UniLassoCV,unilasso_cv,True,5.381798247777889,0.934772319161566,0.8132651173327796,0.9800000000000001,0.3041949110914628,0.6958050889085372,0.9800000000000001,0.9436,28.2,2.0,2.880541372299194
2.0,0.5,0,UniLassoCV,unilasso_cv,True,10.342345278234067,0.8741589560103668,0.7778107606679034,0.8799999999999999,0.30140229885057473,0.6985977011494253,0.8799999999999999,0.9496,25.2,2.0,2.880824327468872
2.0,0.5,1,UniLassoCV,unilasso_cv,True,8.413560156567375,0.888817801469196,0.7317598627787306,0.89,0.37603896103896106,0.6239610389610389,0.89,0.9428000000000001,28.6,2.0,2.9267669677734376
2.0,0.5,2,UniLassoCV,unilasso_cv,True,9.841785622256097,0.8813832515186328,0.7579748445016393,0.86,0.320946806816372,0.679053193183628,0.86,0.9492,25.4,2.0,2.8775280475616456
2.0,0.5,3,UniLassoCV,unilasso_cv,True,10.616742172867536,0.8561467978687569,0.8505510323422248,0.9399999999999998,0.22214170692431562,0.7778582930756843,0.9399999999999998,0.9516,24.2,2.0,2.920621633529663
2.0,0.5,4,UniLassoCV,unilasso_cv,True,9.267337805547147,0.8895064451138237,0.7525054052628803,0.86,0.3271451546953796,0.6728548453046204,0.86,0.9488,25.6,2.0,2.8683191299438477
3.0,0.33,0,UniLassoCV,unilasso_cv,True,20.553331811236138,0.7635946584277123,0.6992975811745694,0.7299999999999999,0.32499938657833394,0.6750006134216661,0.7299999999999999,0.9568,21.6,2.0,2.8824453353881836
3.0,0.33,1,UniLassoCV,unilasso_cv,True,18.893669869768512,0.7702622075579246,0.636794482901662,0.7,0.4112379611235446,0.5887620388764553,0.7,0.9523999999999999,23.8,2.0,2.925184488296509
3.0,0.33,2,UniLassoCV,unilasso_cv,True,20.667940162374727,0.7610045054291972,0.6634483739550057,0.71,0.37429428864211467,0.6257057113578852,0.71,0.9547999999999999,22.6,2.0,2.893426752090454
3.0,0.33,3,UniLassoCV,unilasso_cv,True,21.870905286117857,0.7196206996625392,0.7127050127050127,0.6699999999999999,0.23688080495356037,0.7631191950464397,0.6699999999999999,0.9648,17.6,2.0,2.878831672668457
3.0,0.33,4,UniLassoCV,unilasso_cv,True,18.827073786793708,0.7877107852459879,0.6941436925647453,0.7300000000000001,0.33319191919191915,0.6668080808080808,0.7300000000000001,0.9559999999999998,22.0,2.0,2.9385096073150634
