sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_alpha,best_gamma,best_lambda_ridge,cv_score
1.0,1.0,0,UniLassoCV_1SE,unilasso_cv,True,1.0544001097333227,-0.1617944349215002,0.0,0.0,0.8,0.0,0.0,0.9815999999999999,18.4,2.0,6.293514156341553,,,,
1.0,1.0,1,UniLassoCV_1SE,unilasso_cv,True,1.7561759861174455,-0.8802389835498076,0.0074074074074074086,0.01,0.9941176470588236,0.0058823529411764705,0.01,0.9728,27.2,2.0,4.871090316772461,,,,
1.0,1.0,2,UniLassoCV_1SE,unilasso_cv,True,1.0866752898084588,-0.007162553343118749,0.0,0.0,0.6,0.0,0.0,0.9954000000000001,4.6,2.0,4.904436874389648,,,,
1.0,1.0,3,UniLassoCV_1SE,unilasso_cv,True,1.3881404055784092,-0.418037350623741,0.0,0.0,0.6,0.0,0.0,0.993,7.0,2.0,4.976413583755493,,,,
1.0,1.0,4,UniLassoCV_1SE,unilasso_cv,True,1.7353509994255318,-0.8343819760469942,0.0,0.0,0.8,0.0,0.0,0.9892,10.8,2.0,5.088661813735962,,,,
1.0,1.0,0,LassoCV_1SE,lasso_cv,True,0.9477997730183209,-0.04024740035454601,0.0,0.0,0.4,0.0,0.0,0.9902,9.8,2.0,1.5556370735168457,6.0507584401267165,,,
1.0,1.0,1,LassoCV_1SE,lasso_cv,True,0.975702179983849,-0.040950114778797085,0.008163265306122448,0.01,0.3931034482758621,0.006896551724137931,0.01,0.9878,12.2,2.0,1.3677812099456788,6.0507584401267165,,,
1.0,1.0,2,LassoCV_1SE,lasso_cv,True,1.0972086876981044,-0.0160767201843929,0.0,0.0,0.2,0.0,0.0,0.9928000000000001,7.2,2.0,1.437093448638916,8.025379220063359,,,
1.0,1.0,3,LassoCV_1SE,lasso_cv,True,1.0120524757078757,-0.03907541655061997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.4729160785675048,10.0,,,
1.0,1.0,4,LassoCV_1SE,lasso_cv,True,0.989339982368714,-0.04465284979679045,0.0,0.0,0.6,0.0,0.0,0.9896,10.4,2.0,1.48463773727417,4.088506276569419,,,
1.0,1.0,0,AFLCV_1SE,aflclassifier_cv,True,0.9909547275043555,-0.09186978613166379,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.99898247718811,3.3827537838861907,0.9,10.0,-0.9909547275043549
1.0,1.0,1,AFLCV_1SE,aflclassifier_cv,True,1.7329455233617073,-0.860737644356945,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.568786668777466,627.9899354919828,1.2,10.0,-1.732945523361709
1.0,1.0,2,AFLCV_1SE,aflclassifier_cv,True,1.0960907456748932,-0.01523721150627293,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.4227235317230225,410.50817541461913,0.9,10.0,-1.0960907456748932
1.0,1.0,3,AFLCV_1SE,aflclassifier_cv,True,1.3649733831837743,-0.39610930548567547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.650077772140503,1233.877760484585,1.4,10.0,-1.3649733831837676
1.0,1.0,4,AFLCV_1SE,aflclassifier_cv,True,1.7067611117837935,-0.8056760068744111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.044628381729126,1.3233545070185238,0.6,10.0,-1.706761111783793
1.0,1.0,0,RelaxedLassoCV_1SE,relaxed_lasso_1se,True,0.9308207520758058,-0.021645436252478722,0.0,0.0,0.2,0.0,0.0,0.9998000000000001,0.2,2.0,1.6402533054351807,,,,
1.0,1.0,1,RelaxedLassoCV_1SE,relaxed_lasso_1se,True,0.9896156210425338,-0.05385747843117259,0.0,0.0,0.4,0.0,0.0,0.9996,0.4,2.0,1.610929012298584,,,,
1.0,1.0,2,RelaxedLassoCV_1SE,relaxed_lasso_1se,True,1.092825059454463,-0.012197969723910695,0.0,0.0,0.6,0.0,0.0,0.9994,0.6,2.0,1.6591575622558594,,,,
1.0,1.0,3,RelaxedLassoCV_1SE,relaxed_lasso_1se,True,1.0596014096097126,-0.09013455944274282,0.0,0.0,1.0,0.0,0.0,0.999,1.0,2.0,1.764558744430542,,,,
1.0,1.0,4,RelaxedLassoCV_1SE,relaxed_lasso_1se,True,0.9971312014499828,-0.046809253927417104,0.0,0.0,0.6,0.0,0.0,0.9994,0.6,2.0,1.6624890327453614,,,,
1.0,1.0,0,ElasticNetCV_1SE,elasticnet_1se,True,0.9266968250680625,-0.017068472711103143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.65655345916748,,,,
1.0,1.0,1,ElasticNetCV_1SE,elasticnet_1se,True,0.9765677278402144,-0.04112463286254871,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.362072563171386,,,,
1.0,1.0,2,ElasticNetCV_1SE,elasticnet_1se,True,1.0901345032043142,-0.010165051277356651,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.660182905197143,,,,
1.0,1.0,3,ElasticNetCV_1SE,elasticnet_1se,True,1.0120524757078757,-0.03907541655061997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.996304035186768,,,,
1.0,1.0,4,ElasticNetCV_1SE,elasticnet_1se,True,0.9607376342364216,-0.012545652228489423,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.713196086883546,,,,
1.0,1.0,0,AdaptiveLassoCV_1SE,adaptive_lasso_cv,True,0.9266968250680625,-0.017068472711103143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.251206827163696,,,,
1.0,1.0,1,AdaptiveLassoCV_1SE,adaptive_lasso_cv,True,0.9765677278402144,-0.04112463286254871,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.059340143203736,,,,
1.0,1.0,2,AdaptiveLassoCV_1SE,adaptive_lasso_cv,True,1.0901345032043142,-0.010165051277356651,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.29979066848755,,,,
1.0,1.0,3,AdaptiveLassoCV_1SE,adaptive_lasso_cv,True,1.0120524757078757,-0.03907541655061997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.524578952789307,,,,
1.0,1.0,4,AdaptiveLassoCV_1SE,adaptive_lasso_cv,True,0.9607376342364216,-0.012545652228489423,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.288049411773681,,,,
