sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.2274680461751788,0.5925452702258796,0.38044727040033144,0.6900000000000001,0.6679170829170828,0.33208291708291704,0.6900000000000001,0.8804000000000001,59.8,2.0,50.56007876396179,1.1,0.00812953375208007,10.0,-1.769634343794787
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.4348981822644673,0.4981492053111157,0.4653457653457654,0.49000000000000005,0.5542105263157895,0.4457894736842105,0.49000000000000005,0.9551999999999999,22.4,2.0,51.29768881797791,2.0,0.00474853425273748,10.0,-1.8760716243037578
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.6634388031494296,0.4042331922236242,0.2679057229690141,0.29999999999999993,0.4275423728813559,0.5724576271186441,0.29999999999999993,0.9623999999999999,18.8,2.0,39.4710476398468,1.6,0.026070278481140685,10.0,-1.7928606701358363
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3791384272946874,0.5136450744064065,0.2745869270573632,0.6799999999999999,0.7386271535773197,0.26137284642268027,0.6799999999999999,0.8376000000000001,81.2,2.0,44.763740348815915,0.9,0.00857992578125474,10.0,-1.5181722425346627
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.9089324837457622,0.47242093287530607,0.24602169580175448,0.48,0.5718231761064306,0.4281768238935695,0.48,0.9040000000000001,48.0,2.0,39.90505962371826,1.4,0.019251107680838438,10.0,-2.0493802685744886
0.5,2.0,5,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.067987782440505,0.3385345046998866,0.226943539813105,0.16,0.33441176470588235,0.6655882352941177,0.16,0.9864,6.8,2.0,47.664681339263915,1.3,0.054280421014242644,10.0,-2.04426404139137
0.5,2.0,6,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.2967777249647936,0.6417261989096674,0.35986709829448593,0.75,0.7365071719449082,0.2634928280550918,0.75,0.8672000000000001,66.4,2.0,41.83282837867737,1.0,0.013762076729711173,10.0,-1.773273127028076
0.5,2.0,7,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.4913900194955985,0.47754574394388544,0.2968662863315598,0.5399999999999999,0.7333723492431841,0.26662765075681605,0.5399999999999999,0.9012,49.4,2.0,37.98051614761353,1.1,0.02374451167880136,10.0,-1.5984604191235094
0.5,2.0,8,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.9421612525763663,0.6681244921959422,0.3064834977394947,0.9,0.8126494659149228,0.18735053408507724,0.9,0.7968,101.6,2.0,48.995597171783444,0.5,0.009143181515706273,10.0,-1.7262844639423798
0.5,2.0,9,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3769588764505147,0.5641238163445159,0.3776070006128462,0.61,0.5466848896061649,0.4533151103938352,0.61,0.9076000000000001,46.2,2.0,33.05064034461975,1.2,0.009664956593201894,10.0,-1.7316587399632488
1.0,1.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.7393716745865833,0.24527164924001363,0.28035517970401697,0.22000000000000003,0.2556521739130435,0.7443478260869566,0.22000000000000003,0.9852000000000001,7.4,2.0,43.965677213668826,1.7,0.048454823427502784,10.0,-2.7791887490129197
1.0,1.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.8368847411368687,0.23128242493795792,0.21391217478174,0.13,0.225,0.775,0.13,0.9916,4.2,2.0,39.00556616783142,1.6,0.05548678326375407,10.0,-2.8475995854935796
1.0,1.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.5447291163041266,0.2686435390147146,0.15042692939244665,0.1,0.5233333333333333,0.4766666666666667,0.1,0.9888,5.6,2.0,32.880160665512086,1.5,0.052941373228969565,10.0,-2.505880755470888
1.0,1.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.61636049809487,0.2605183559243409,0.19798920885877408,0.19,0.22468354430379747,0.7753164556962024,0.19,0.9643999999999998,17.8,2.0,37.45164499282837,1.5,0.0695174007754432,10.0,-2.4391773263223255
1.0,1.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,3.1167119084762303,0.28455500102076675,0.2015423925667828,0.15,0.33238095238095233,0.6676190476190477,0.15,0.9848000000000001,7.6,2.0,34.53243985176086,1.7,0.03935591949794297,10.0,-2.989930991189021
1.0,1.0,5,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.8951662399343068,0.26289702015047606,0.1960041407867495,0.12,0.25666666666666665,0.7433333333333333,0.12,0.9916,4.2,2.0,28.12481322288513,0.9,0.10321887089842627,10.0,-2.9158479141671068
1.0,1.0,6,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,3.0941924011023425,0.29322707522980135,0.28835138496155444,0.29,0.6402389277389278,0.35976107226107223,0.29,0.9616,19.2,2.0,18.681737613677978,1.4,0.0552708266069883,10.0,-3.0395617994227293
1.0,1.0,7,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.592991534038466,0.24827914040165563,0.1892736892736893,0.17,0.2857142857142857,0.7142857142857142,0.17,0.9843999999999999,7.8,2.0,18.65209879875183,1.8,0.04763698809607153,10.0,-2.477537694900403
1.0,1.0,8,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.903650361985811,0.1559753623732399,0.23774410774410776,0.16,0.47417582417582416,0.5258241758241757,0.16,0.9864,6.8,2.0,23.38458185195923,1.5,0.0701090912887907,10.0,-2.8448895565066237
1.0,1.0,9,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.5418095425253617,0.3296775426431449,0.1361904761904762,0.09,0.24666666666666667,0.7533333333333333,0.09,0.9912000000000001,4.4,2.0,15.227908182144166,1.7,0.07092863913567263,10.0,-2.4924741083668125
