mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,norm_type,train_time,best_gamma,best_alpha,best_lambda_ridge
1.0699759708112677,0.9950977038355543,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,min_anchored,14.60939359664917,1.0,0.03597599547911681,50.0
1.1411730910122568,0.9947715008377279,0.43010752688172044,1.0,0.726027397260274,0.273972602739726,1.0,0.854,73,0,mean_anchored,9.55687665939331,1.0,0.10036638724393288,50.0
1.2149271168986204,0.9934944613103037,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,min_anchored,12.965888023376465,1.0,0.06381937112654136,50.0
1.601139131006878,0.9914264218655833,0.36697247706422015,1.0,0.7752808988764045,0.2247191011235955,1.0,0.8220000000000001,89,1,mean_anchored,12.085209608078003,1.0,0.067673213567532,50.0
1.3969738601837054,0.9934827589484106,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,min_anchored,10.65421462059021,1.0,0.04734387916829447,10.0
1.8666344446428034,0.991291671964902,0.4040404040404041,1.0,0.7468354430379747,0.25316455696202533,1.0,0.842,79,2,mean_anchored,16.10987091064453,1.0,0.12276001783450524,10.0
1.7695489543299532,0.9911456379099943,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,3,min_anchored,11.503740310668945,1.0,0.06117724404725375,50.0
2.052964409734341,0.9897275007864558,0.4651162790697675,1.0,0.696969696969697,0.30303030303030304,1.0,0.868,66,3,mean_anchored,25.950347185134888,0.5,0.16268744295194304,50.0
1.7317869734320461,0.9930006466276828,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,4,min_anchored,9.49002981185913,1.0,0.045297186133280806,50.0
1.8070770950655435,0.9926963469794916,0.4819277108433735,1.0,0.6825396825396826,0.31746031746031744,1.0,0.874,63,4,mean_anchored,10.297928810119629,1.0,0.08607042893084701,50.0
