mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,prior_mode,sigma,snr,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_mse
0.30081485649621936,0.9969102066615351,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,per_fold,0.5,314.9239368297454,4.204746246337891,1.0,0.01869756231094022,10.0,0.7292454713271279
0.2959657192446027,0.9969600141482791,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,unified,0.5,314.9239368297454,2.483548402786255,1.0,0.013858525353951405,10.0,0.7104670392549359
0.3487018620100154,0.9955937676291859,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,1,per_fold,0.5,329.46111865723736,3.8877673149108887,1.0,0.022732183463898298,0.1,0.5566679171283937
0.3487018620100147,0.9955937676291859,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,1,unified,0.5,329.46111865723736,2.3290960788726807,1.0,0.022732183463898253,0.1,0.5463392035987585
0.32273321379433334,0.9952148068703992,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,2,per_fold,0.5,368.52897720831953,4.213791608810425,0.3,0.04461753212209745,1.0,1.7190252130615282
0.3227570398581122,0.9952144535993015,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,2,unified,0.5,368.52897720831953,2.8746657371520996,0.3,0.04467654406104484,1.0,1.7126509173520508
0.4162287780241663,0.994934998196498,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,3,per_fold,0.5,355.85976078497015,3.7317655086517334,0.5,0.0324842839224983,10.0,0.41745980934009824
0.3606563257751097,0.9956112478594902,0.5333333333333333,1.0,0.6363636363636364,0.36363636363636365,1.0,0.89,55,3,unified,0.5,355.85976078497015,2.3269150257110596,1.0,0.0046989040619754615,10.0,0.40205652192135777
0.3472300744824304,0.99432308402231,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,4,per_fold,0.5,313.44977345022124,3.8754138946533203,1.0,0.011789645878444001,0.1,1.196969995129854
0.34847851669477276,0.9943026730554517,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,4,unified,0.5,313.44977345022124,2.3746209144592285,1.0,0.00858162881861001,0.1,1.1895529539772205
4.7935465301458295,0.952583031344626,0.8085106382978724,0.95,0.2962962962962963,0.7037037037037037,0.95,0.946,27,0,per_fold,2.0,19.682746051859088,6.681772470474243,1.0,0.09925293534304198,100.0,5.750908838121012
4.257945034972143,0.9578811126605592,0.5194805194805194,1.0,0.6491228070175439,0.3508771929824561,1.0,0.886,57,0,unified,2.0,19.682746051859088,5.518085956573486,1.0,0.027862444838371355,100.0,5.16784488047062
4.682636472960753,0.9433538485143685,0.6666666666666666,1.0,0.5,0.5,1.0,0.92,40,1,per_fold,2.0,20.591319916077335,6.985889911651611,0.5,0.15077904400946576,100.0,6.1364397141179445
5.187670224854988,0.9372444230698882,0.47619047619047616,1.0,0.6875,0.3125,1.0,0.872,64,1,unified,2.0,20.591319916077335,6.095898389816284,1.0,0.03080958248259214,100.0,5.2439114888295135
5.089794732244047,0.9292533920446651,0.7307692307692308,0.95,0.40625,0.59375,0.95,0.9359999999999999,32,2,per_fold,2.0,23.03306107551997,6.530040502548218,1.0,0.08539839728272067,100.0,6.713545383926096
4.89360905986476,0.9319803135769509,0.6785714285714285,0.95,0.4722222222222222,0.5277777777777778,0.95,0.928,36,2,unified,2.0,23.03306107551997,6.196768760681152,1.0,0.06216109921710602,100.0,6.1387347064369155
6.006427418955074,0.9346093514262129,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,3,per_fold,2.0,22.241235049060634,6.685149431228638,0.3,0.15942495959011752,100.0,5.520392107491542
5.307158669617733,0.942222135841496,0.5714285714285715,1.0,0.6,0.4,1.0,0.9,50,3,unified,2.0,22.241235049060634,6.431229114532471,1.0,0.03250959389739481,100.0,4.824316919108388
5.196422643795474,0.9171707714905655,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,4,per_fold,2.0,19.590610840638828,5.921295881271362,1.0,0.05912856154891703,100.0,5.3023947801558355
5.193784114423006,0.9172128287609805,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,4,unified,2.0,19.590610840638828,5.135700941085815,1.0,0.04303940703756837,100.0,4.735958540461025
102.62822051888797,0.44836770653588975,0.3673469387755102,0.45,0.6896551724137931,0.3103448275862069,0.45,0.942,29,0,per_fold,10.0,0.7873098420743635,17.96442151069641,0.3,0.9273545188010146,100.0,122.77476341686176
115.20406604126136,0.38077184963919486,0.1627906976744186,0.35,0.8939393939393939,0.10606060606060606,0.35,0.868,66,0,unified,10.0,0.7873098420743635,16.907413959503174,1.0,0.21466083865698316,100.0,101.91906114265677
114.3130606566323,0.33033468434598945,0.25531914893617025,0.3,0.7777777777777778,0.2222222222222222,0.3,0.946,27,1,per_fold,10.0,0.8236527966430935,16.922895908355713,0.3,0.998295561610273,100.0,131.34150337141065
231.7298015361294,-0.3575125169490412,0.10687022900763357,0.35,0.9369369369369369,0.06306306306306306,0.35,0.778,111,1,unified,10.0,0.8236527966430935,16.50490164756775,1.0,0.0907672035613978,100.0,94.29913762114077
102.40946612015462,0.3533633265073701,0.27906976744186046,0.3,0.7391304347826086,0.2608695652173913,0.3,0.954,23,2,per_fold,10.0,0.9213224430207991,15.283548355102539,0.3,1.087678932325721,100.0,129.1187950851448
99.98624593291987,0.3686640902002031,0.19607843137254902,0.25,0.8387096774193549,0.16129032258064516,0.25,0.938,31,2,unified,10.0,0.9213224430207991,16.052680492401123,1.0,0.5672466452706941,100.0,112.75980784758235
142.7202244913459,0.42896420748678954,0.39215686274509803,0.5,0.6774193548387096,0.3225806451612903,0.5,0.938,31,3,per_fold,10.0,0.8896494019624257,16.312503337860107,0.3,0.8781798076766185,100.0,122.86511324034397
138.35714356994438,0.4464212664329297,0.3103448275862069,0.45,0.7631578947368421,0.23684210526315788,0.45,0.924,38,3,unified,10.0,0.8896494019624257,16.11326766014099,1.0,0.4439884220864298,100.0,102.0045466493468
120.88862819782919,0.21574910872939312,0.4,0.35,0.5333333333333333,0.4666666666666667,0.35,0.97,15,4,per_fold,10.0,0.7836244336255532,12.453229427337646,0.3,1.1638749630867882,100.0,106.41255268167708
119.27969289513007,0.22618688905620465,0.4117647058823529,0.35,0.5,0.5,0.35,0.972,14,4,unified,10.0,0.7836244336255532,12.835095882415771,1.0,0.448862395032139,100.0,93.55859577684377
