sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.187891184991652,0.9467130320264957,0.9473684210526316,0.9,0.0,1.0,0.9,0.964,18,0,3.1151504516601562,2.0,0.5031051577967095,0.1,-0.6925307878591672
0.5,2.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.6964047848386379,0.9928469395091309,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,8.340678215026855,2.0,0.007880462815669913,,-0.3088370052079502
0.5,2.0,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,6.474051492902524,0.9181932235924664,0.9189189189189189,0.85,0.0,1.0,0.85,0.966,17,0,3.7760281562805176,2.0,0.39744019547199155,0.1,-0.522319525698377
0.5,2.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.46441153510196886,0.9941316483727668,1.0,1.0,0.0,1.0,1.0,0.96,20,0,9.230540752410889,2.0,0.007880462815669913,,-0.3484607202815506
0.5,2.0,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,4.1114080149513486,0.93903979960777,1.0,1.0,0.0,1.0,1.0,0.96,20,0,4.12823748588562,0.3,0.7829242321158404,0.1,-1.4561861992852632
0.5,2.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.738940436344919,0.9742165805280718,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,8.645246982574463,2.0,0.011721022975334805,,-0.3410116636156032
0.5,2.0,3,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,4.748757344238807,0.9422133552919149,1.0,1.0,0.0,1.0,1.0,0.96,20,0,3.8692703247070312,0.3,0.7949056627049877,0.1,-0.33810555495361594
0.5,2.0,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.3936737214996367,0.9952094660084478,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,8.830905199050903,2.0,0.007880462815669913,,-0.3159517466467606
0.5,2.0,4,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,4.295572742840554,0.9297710442463558,0.9473684210526316,0.9,0.0,1.0,0.9,0.964,18,0,3.733928680419922,2.0,0.5329336885381677,0.1,-1.1825564074730717
0.5,2.0,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.2596788492945232,0.9794053236979043,1.0,1.0,0.0,1.0,1.0,0.96,20,0,8.217664003372192,2.0,0.011721022975334805,,-0.27040853768177364
2.0,0.5,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,10.045317548008171,0.9006333819205273,0.7647058823529412,0.65,0.07142857142857142,0.9285714285714286,0.65,0.972,14,0,5.145693063735962,3.0,0.21803572566142676,0.1,-5.571913805218633
2.0,0.5,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.069509319305516,0.9399614186829944,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23,0,20.62919783592224,1.0,0.12689610031679233,,-5.698582060824621
2.0,0.5,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,9.609613891818828,0.8837518890527464,0.9189189189189189,0.85,0.0,1.0,0.85,0.966,17,0,5.738936424255371,0.3,0.537112331418507,0.1,-6.41400851883098
2.0,0.5,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,4.8780370512008835,0.9409900752812155,0.625,1.0,0.5454545454545454,0.45454545454545453,1.0,0.912,44,0,22.086066722869873,0.5,0.12689610031679233,,-6.402825045633584
2.0,0.5,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,12.264144384528967,0.8295321009345783,0.6060606060606061,0.5,0.23076923076923078,0.7692307692307693,0.5,0.974,13,0,5.082346439361572,3.0,0.1173223503172942,0.1,-6.8559244967054935
2.0,0.5,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,8.721803443184658,0.8787695690457779,0.7317073170731706,0.75,0.2857142857142857,0.7142857142857143,0.75,0.958,21,0,20.31928277015686,1.0,0.12689610031679233,,-6.095565030228704
2.0,0.5,3,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,15.741498091194268,0.8286257873594187,0.7096774193548387,0.55,0.0,1.0,0.55,0.978,11,0,5.083091974258423,3.0,0.27544458112711495,0.1,-5.261965220747002
2.0,0.5,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.26761054946444,0.9317659083760826,0.7755102040816326,0.95,0.3448275862068966,0.6551724137931034,0.95,0.942,29,0,20.1032612323761,2.0,0.03856620421163472,,-5.630528979707816
2.0,0.5,4,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,11.69480570927181,0.8135887319282415,0.7499999999999999,0.6,0.0,1.0,0.6,0.976,12,0,4.859977960586548,3.0,0.08123222487225032,0.1,-4.954487816770516
2.0,0.5,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,5.982015309451379,0.9046486887272164,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,18.94391393661499,0.5,0.18873918221350977,,-4.9896871456581895
10.0,0.1,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,102.73880275248884,0.4477733209874587,0.3255813953488372,0.35,0.6956521739130435,0.30434782608695654,0.35,0.954,23,0,6.495233774185181,0.5,0.4520443560461586,1.0,-124.21179786564366
10.0,0.1,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,116.13488399599079,0.37576865226746936,0.37499999999999994,0.3,0.5,0.5,0.3,0.976,12,0,115.6224410533905,0.5,2.043359717856944,,-129.4108050136362
10.0,0.1,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,144.75172125011704,0.1520198431779377,0.1904761904761905,0.3,0.8604651162790697,0.13953488372093023,0.3,0.914,43,0,8.079460859298706,0.3,0.22126110611783245,1.0,-132.0815223161724
10.0,0.1,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,124.3851582225844,0.2713306269175789,0.23529411764705882,0.2,0.7142857142857143,0.2857142857142857,0.2,0.972,14,0,116.33437752723694,0.5,2.043359717856944,,-143.1173313260676
10.0,0.1,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,104.54216082529932,0.33989700682074986,0.2926829268292683,0.3,0.7142857142857143,0.2857142857142857,0.3,0.958,21,0,7.852329730987549,1.0,0.1680453714751603,1.0,-126.67289987288862
10.0,0.1,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,105.59300561109482,0.33326173371184975,0.1764705882352941,0.15,0.7857142857142857,0.21428571428571427,0.15,0.972,14,0,134.35952353477478,0.5,2.043359717856944,,-134.8505437642631
10.0,0.1,3,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,138.7088174758515,0.44501418913690094,0.3913043478260869,0.45,0.6538461538461539,0.34615384615384615,0.45,0.948,26,0,5.2122485637664795,0.5,0.34555060495776374,1.0,-118.6324862120554
10.0,0.1,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,157.77188410192142,0.3687412334479191,0.4117647058823529,0.35,0.5,0.5,0.35,0.972,14,0,110.59753131866455,0.5,2.043359717856944,,-129.3312981598638
10.0,0.1,4,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,120.68733347157738,0.2170549848140545,0.35714285714285715,0.25,0.375,0.625,0.25,0.984,8,0,7.902258396148682,3.0,0.06676164291358647,1.0,-104.47342001718866
10.0,0.1,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,133.2763793951402,0.1353850160751915,0.23076923076923075,0.15,0.5,0.5,0.15,0.988,6,0,118.72103834152222,1.0,3.039195382313201,,-118.37191833928901
