sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.30084187052541106,0.9969099291893104,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,1.965630054473877,1.0,0.01873699313846618,10.0,-0.7293696299740954
0.5,2.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.6964047848386379,0.9928469395091309,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,5.668878555297852,2.0,0.007880462815669913,,-0.31522705444964233
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3485769164312851,0.99559534645429,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,1.906468152999878,1.0,0.02275906259180027,1.0,-0.5566920407720146
0.5,2.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.46623754043933047,0.9941085747826793,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,5.244869232177734,2.0,0.005298316906283712,,-0.3273318858465767
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.322757039858112,0.9952144535993015,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,1.9682013988494873,0.3,0.04467654406104488,1.0,-1.7192049816696386
0.5,2.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.7279275503838782,0.974379869535789,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,5.349145174026489,2.0,0.007880462815669913,,-0.3381685561197283
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4163461838089266,0.9949335695098167,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,1.8699226379394531,0.5,0.03252613599831325,5.0,-0.41740908468668214
0.5,2.0,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.3936737214996367,0.9952094660084478,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,5.093590259552002,2.0,0.007880462815669913,,-0.3284931165135396
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3475545208526802,0.9943177796004914,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,1.3962891101837158,1.0,0.011789645878444001,1.0,-1.1966203646889917
0.5,2.0,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.2435647933672243,0.9796687747877773,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,3.700623035430908,2.0,0.007880462815669913,,-0.2652144553554361
2.0,0.5,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.803489066436172,0.9524846814217308,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26,0,2.913963794708252,1.0,0.09031695987611812,50.0,-5.700114299862998
2.0,0.5,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.069509319305516,0.9399614186829944,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23,0,9.523301362991333,1.0,0.12689610031679233,,-5.609556283296897
2.0,0.5,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.693189978309472,0.9432261820883839,0.6896551724137931,1.0,0.47368421052631576,0.5263157894736842,1.0,0.924,38,0,2.921917676925659,0.5,0.15077904400946576,50.0,-6.123910648291828
2.0,0.5,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,5.191184228123789,0.9372019139486625,0.6551724137931034,0.95,0.5,0.5,0.95,0.924,38,0,9.364165544509888,2.0,0.02592943797404667,,-6.248869161326898
2.0,0.5,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.252185347039034,0.9269962115953738,0.7169811320754716,0.95,0.42424242424242425,0.5757575757575758,0.95,0.9339999999999999,33,0,3.057765245437622,1.0,0.0852451760763979,50.0,-6.636427239512868
2.0,0.5,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,8.745228695263565,0.8784439651241536,0.6521739130434783,0.75,0.4230769230769231,0.5769230769230769,0.75,0.948,26,0,9.923139810562134,2.0,0.03856620421163472,,-5.9925312509074224
