sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,0.30271208067013017,0.9968907194903148,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,2.2822787761688232,1.0,0.021423888021814736,10.0,-0.7286578800767771
0.5,2.0,0,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,0.3027120427830087,0.9968907198794691,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,2.2582995891571045,1.0,0.021423869773774695,10.0,-0.7286573674553691
0.5,2.0,1,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,0.3511504177798913,0.9955628274281995,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,2.3176488876342773,1.0,0.026046804654152586,0.1,-0.5569561573052948
0.5,2.0,1,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,0.35115050482317783,0.9955628263283116,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,2.2648510932922363,1.0,0.02604680360447186,0.1,-0.5569561548490075
0.5,2.0,2,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,0.3200329752248968,0.9952548435400026,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,0,2.3627471923828125,0.3,0.03944773596121792,1.0,-1.7170791017056726
0.5,2.0,2,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,0.320032957919518,0.995254843796591,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,0,2.3774406909942627,0.3,0.03944772061783424,1.0,-1.7170794813390569
0.5,2.0,3,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,0.4164530708039992,0.9949322688241087,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,0,2.207465648651123,0.5,0.03269551758031949,10.0,-0.4174315963140584
0.5,2.0,3,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,0.41645317856437747,0.994932267512795,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,0,2.2539587020874023,0.5,0.03269549331899694,10.0,-0.4174313609588955
0.5,2.0,4,AFL-CV (eps=1e-5),adaptive_flipped_lasso_cv,True,0.347321688421747,0.9943215862124309,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,2.2108781337738037,1.0,0.012021136199829526,0.1,-1.1969411850156868
0.5,2.0,4,AFL-CV (eps=1e-10),adaptive_flipped_lasso_cv,True,0.3473217398295318,0.9943215853719574,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,2.1805419921875,1.0,0.012021136199829526,0.1,-1.1969404828335592
