sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.1,10.0,0,1.0,1.0,0.5,0.3254860279927268,0.996049293844629,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.018150806427001953
0.1,10.0,1,1.0,1.0,0.5,0.8777397663630233,0.9912644444792826,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012027740478515625
0.1,10.0,2,1.0,1.0,0.5,0.3101063841158383,0.9951867643786495,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012151002883911133
0.1,10.0,3,1.0,1.0,0.5,0.975655588099583,0.9890920550172972,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.012334346771240234
0.1,10.0,4,1.0,1.0,0.5,0.7349673395126951,0.990411449179876,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012032508850097656
0.1,10.0,5,1.0,1.0,0.5,0.6118938266845381,0.9934492432122728,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.012883901596069336
0.1,10.0,6,1.0,1.0,0.5,0.7094811322756392,0.9908732775339484,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012178897857666016
0.1,10.0,7,1.0,1.0,0.5,1.151951470682308,0.9867305709409381,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.015980958938598633
0.1,10.0,8,1.0,1.0,0.5,2.182105084765552,0.9727675114742629,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011948585510253906
0.1,10.0,9,1.0,1.0,0.5,0.9907834353451122,0.9878790842739784,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012120485305786133
0.1,10.0,10,1.0,1.0,0.5,0.3147782524802806,0.9965890337827351,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.012326717376708984
0.1,10.0,11,1.0,1.0,0.5,0.5827090696174448,0.9943748776593622,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012094974517822266
0.1,10.0,12,1.0,1.0,0.5,0.34019239042393895,0.9943649091315644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011969804763793945
0.1,10.0,13,1.0,1.0,0.5,0.7726292808181265,0.9817483117414201,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01903700828552246
0.1,10.0,14,1.0,1.0,0.5,0.5563784749922409,0.9935955972490955,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.012401103973388672
0.1,10.0,15,1.0,1.0,0.5,0.4788555913452211,0.9928639059163805,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011769771575927734
0.1,10.0,16,1.0,1.0,0.5,0.1849629077394357,0.996881799569934,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012952804565429688
0.1,10.0,17,1.0,1.0,0.5,0.5246897975965485,0.9905601396932663,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011881351470947266
