repeat_id,seed_train,seed_test
0,42,1000042
1,43,1000043
2,44,1000044
3,45,1000045
4,46,1000046
5,47,1000047
6,48,1000048
7,49,1000049
8,50,1000050
9,51,1000051
10,52,1000052
11,53,1000053
12,54,1000054
13,55,1000055
14,56,1000056
15,57,1000057
16,58,1000058
17,59,1000059
18,60,1000060
19,61,1000061
20,62,1000062
21,63,1000063
22,64,1000064
23,65,1000065
24,66,1000066
25,67,1000067
26,68,1000068
27,69,1000069
28,70,1000070
29,71,1000071
30,72,1000072
31,73,1000073
32,74,1000074
33,75,1000075
34,76,1000076
35,77,1000077
36,78,1000078
37,79,1000079
38,80,1000080
39,81,1000081
40,82,1000082
41,83,1000083
42,84,1000084
43,85,1000085
44,86,1000086
45,87,1000087
46,88,1000088
47,89,1000089
48,90,1000090
49,91,1000091
