gamma,cap,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,sign_accuracy_mean,sign_accuracy_std,active_set_size_mean,active_set_size_std,avg_bias_mean,avg_bias_std,f1_se,mse_se,tpr_se,fdr_se,precision_se,recall_se,r2_se,sparsity_se,n_selected_se,sign_accuracy_se,active_set_size_se,avg_bias_se,f1_rank,mse_rank,fdr_rank,sign_accuracy_rank
0.3,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
0.3,2,0.807081,0.072173,11.893439,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355783,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,35.0,44.0,28.5
0.3,5,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.3,10,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.3,20,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.3,50,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.3,100,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.3,None,0.807081,0.072173,11.89344,0.835313,0.961,0.040771,0.298378,0.098477,0.701622,0.098477,0.961,0.040771,0.868233,0.009464,0.94404,0.009174,27.98,4.586982,1.0,0.0,27.98,4.586982,0.355784,0.05851,0.010207,0.118131,0.005766,0.013927,0.013927,0.005766,0.001338,0.001297,0.648697,0.0,0.648697,0.008275,41.0,38.5,44.0,28.5
0.5,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
0.5,2,0.820813,0.066428,11.880176,0.805105,0.946,0.054248,0.269367,0.093646,0.730633,0.093646,0.946,0.054248,0.868375,0.009213,0.94736,0.007532,26.32,3.765797,1.0,0.0,26.32,3.765797,0.372265,0.064577,0.009394,0.113859,0.007672,0.013243,0.013243,0.007672,0.001303,0.001065,0.532564,0.0,0.532564,0.009133,29.0,34.0,33.0,28.5
0.5,5,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,27.0,36.5,28.5
0.5,10,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,30.0,36.5,28.5
0.5,20,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,30.0,36.5,28.5
0.5,50,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,30.0,36.5,28.5
0.5,100,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,30.0,36.5,28.5
0.5,None,0.817813,0.070982,11.841932,0.796271,0.947,0.054782,0.274433,0.097239,0.725567,0.097239,0.947,0.054782,0.868799,0.009114,0.94684,0.008132,26.58,4.066237,1.0,0.0,26.58,4.066237,0.370629,0.064104,0.010038,0.11261,0.007747,0.013752,0.013752,0.007747,0.001289,0.00115,0.575053,0.0,0.575053,0.009066,32.5,30.0,36.5,28.5
0.7,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
0.7,2,0.821704,0.078554,11.983364,0.81068,0.928,0.064807,0.256324,0.104567,0.743676,0.104567,0.928,0.064807,0.867229,0.009317,0.94912,0.008153,25.44,4.076613,1.0,0.0,25.44,4.076613,0.391908,0.068929,0.011109,0.114648,0.009165,0.014788,0.014788,0.009165,0.001318,0.001153,0.57652,0.0,0.57652,0.009748,28.0,42.0,25.0,28.5
0.7,5,0.821841,0.067301,11.829136,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,21.0,29.5,28.5
0.7,10,0.821841,0.067301,11.829137,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,24.0,29.5,28.5
0.7,20,0.821841,0.067301,11.829137,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,24.0,29.5,28.5
0.7,50,0.821841,0.067301,11.829137,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,24.0,29.5,28.5
0.7,100,0.821841,0.067301,11.829137,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,24.0,29.5,28.5
0.7,None,0.821841,0.067301,11.829137,0.80398,0.93,0.063888,0.258957,0.088954,0.741043,0.088954,0.93,0.063888,0.868942,0.009176,0.94916,0.006591,25.42,3.295575,1.0,0.0,25.42,3.295575,0.383533,0.068957,0.009518,0.1137,0.009035,0.01258,0.01258,0.009035,0.001298,0.000932,0.466065,0.0,0.466065,0.009752,24.5,24.0,29.5,28.5
1.0,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
1.0,2,0.814324,0.082926,12.240111,0.893591,0.911,0.064119,0.254977,0.116902,0.745023,0.116902,0.911,0.064119,0.864386,0.010198,0.9498,0.009513,25.1,4.756306,1.0,0.0,25.1,4.756306,0.422784,0.077541,0.011728,0.126373,0.009068,0.016532,0.016532,0.009068,0.001442,0.001345,0.672643,0.0,0.672643,0.010966,36.0,52.0,24.0,28.5
