sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.8308,0.2577,0.965,0.069,0.1938,0.3074,0.8062,0.3074,0.965,0.069,0.923,0.084,38.5,41.9881,2.0635,2.4332,0.99,0.0116
0.5,2.0,ElasticNetCV,0.4719,0.0308,1.0,0.0,0.6907,0.0267,0.3093,0.0267,1.0,0.0,0.8698,0.0109,65.1,5.4666,0.3871,0.0722,0.9981,0.0004
0.5,2.0,LassoCV,0.4595,0.0296,1.0,0.0,0.7013,0.025,0.2987,0.025,1.0,0.0,0.8652,0.0114,67.4,5.7069,0.3634,0.0615,0.9982,0.0004
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9964,0.0117,1.0,0.0,0.0069,0.0224,0.9931,0.0224,1.0,0.0,0.9597,0.001,20.15,0.4894,0.4644,0.1839,0.9977,0.001
0.5,2.0,RelaxedLassoCV,0.4764,0.0291,1.0,0.0,0.6869,0.0255,0.3131,0.0255,1.0,0.0,0.8715,0.0099,64.25,4.9511,0.3507,0.0625,0.9983,0.0004
0.5,2.0,UnilassoCV,0.4224,0.0315,1.0,0.0,0.7318,0.0253,0.2682,0.0253,1.0,0.0,0.8496,0.0144,75.2,7.1936,0.7069,0.6063,0.9965,0.0032
1.0,1.0,AdaptiveLassoCV (fixed),0.868,0.1617,0.965,0.0516,0.1682,0.2438,0.8318,0.2438,0.965,0.0516,0.9464,0.0275,26.8,13.7405,3.0106,1.7052,0.9857,0.0076
1.0,1.0,ElasticNetCV,0.473,0.0305,1.0,0.0,0.6897,0.0263,0.3103,0.0263,1.0,0.0,0.8702,0.0109,64.9,5.457,1.5381,0.238,0.9924,0.0017
1.0,1.0,LassoCV,0.4606,0.0302,1.0,0.0,0.7003,0.0255,0.2997,0.0255,1.0,0.0,0.8656,0.0116,67.2,5.7911,1.4542,0.2472,0.9928,0.0018
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.966,0.0305,1.0,0.0,0.0643,0.0554,0.9357,0.0554,1.0,0.0,0.9571,0.0027,21.45,1.3563,1.4897,0.3755,0.9926,0.0022
1.0,1.0,RelaxedLassoCV,0.4769,0.0309,1.0,0.0,0.6864,0.027,0.3136,0.027,1.0,0.0,0.8716,0.0106,64.2,5.3173,1.401,0.2479,0.9931,0.0018
1.0,1.0,UnilassoCV,0.429,0.0305,1.0,0.0,0.7265,0.0247,0.2735,0.0247,1.0,0.0,0.8526,0.0135,73.7,6.7598,1.7445,0.6734,0.9914,0.0038
2.0,0.5,AdaptiveLassoCV (fixed),0.5001,0.2712,0.9675,0.052,0.6049,0.2839,0.3951,0.2839,0.9675,0.052,0.8238,0.1291,88.1,64.5543,7.1134,1.9402,0.9653,0.0119
2.0,0.5,ElasticNetCV,0.4729,0.03,1.0,0.0,0.6898,0.026,0.3102,0.026,1.0,0.0,0.8702,0.0105,64.9,5.2506,6.1473,0.9366,0.9702,0.0063
2.0,0.5,LassoCV,0.4626,0.0338,1.0,0.0,0.6985,0.0288,0.3015,0.0288,1.0,0.0,0.8662,0.0126,66.9,6.3071,5.8045,0.8948,0.9718,0.0067
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.8325,0.0662,0.99,0.0262,0.2763,0.0975,0.7237,0.0975,0.99,0.0262,0.9443,0.0079,27.85,3.964,5.8741,0.9858,0.9714,0.0073
2.0,0.5,RelaxedLassoCV,0.478,0.0312,1.0,0.0,0.6854,0.0274,0.3146,0.0274,1.0,0.0,0.872,0.0105,64.0,5.2616,5.6133,0.9926,0.9727,0.0068
2.0,0.5,UnilassoCV,0.4359,0.0301,1.0,0.0,0.7209,0.0244,0.2791,0.0244,1.0,0.0,0.8556,0.0133,72.2,6.6618,5.9094,1.205,0.9712,0.008
3.0,0.33,AdaptiveLassoCV (fixed),0.2636,0.1413,0.925,0.0596,0.8368,0.1114,0.1632,0.1114,0.925,0.0596,0.7,0.1242,150.0,62.095,18.5575,4.7118,0.911,0.0321
3.0,0.33,ElasticNetCV,0.4375,0.0606,0.965,0.0328,0.7155,0.0476,0.2845,0.0476,0.965,0.0328,0.8598,0.03,70.1,15.0119,13.7955,2.8987,0.9352,0.0149
3.0,0.33,LassoCV,0.4529,0.0384,0.975,0.0344,0.7046,0.0309,0.2954,0.0309,0.975,0.0344,0.8669,0.0117,66.55,5.8352,12.9555,2.294,0.9389,0.0142
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.6808,0.0992,0.83,0.0715,0.4156,0.1207,0.5844,0.1207,0.83,0.0715,0.9412,0.0114,29.4,5.6884,14.3876,2.6647,0.9322,0.0155
3.0,0.33,RelaxedLassoCV,0.4572,0.0459,0.94,0.07,0.6975,0.035,0.3025,0.035,0.94,0.07,0.8749,0.0094,62.55,4.7181,12.7445,2.323,0.9397,0.015
3.0,0.33,UnilassoCV,0.4302,0.0324,0.98,0.0299,0.7241,0.0249,0.2759,0.0249,0.98,0.0299,0.857,0.0113,71.5,5.6335,12.8256,2.2752,0.9392,0.0153
