sigma,snr,repeat,model,algo,use_cv,accuracy,f1,auc,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,sign_accuracy,best_gamma,cv_score
0.5,2.0,0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9666666666666667,0.967741935483871,0.9743303571428572,0.8,0.0,1.0,0.8,0.968,16,0.888888888888889,0.992,0,39.52070474624634,0.02597233539143272,1.0,,
0.5,2.0,1,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,14.828551292419434,0.0002191498634177533,1.0,,
0.5,2.0,2,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0.9090909090909091,0.992,0,16.379894256591797,0.00019732670394597362,1.0,,
0.5,2.0,3,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,15.593969106674194,0.00015448906631255875,1.0,,
0.5,2.0,4,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9836065573770492,1.0,0.85,0.0,1.0,0.85,0.966,17,0.9189189189189189,0.994,0,34.037665367126465,0.011308941144531143,1.0,,
0.5,2.0,5,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0.8695652173913044,0.988,0,16.177607774734497,0.00010166100799700155,1.0,,
0.5,2.0,6,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,15.274931907653809,0.00011746440623064768,1.0,,
0.5,2.0,7,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.95,0.9433962264150944,0.9966329966329966,0.75,0.0,1.0,0.75,0.97,15,0.8571428571428571,0.99,0,29.923083305358887,0.01210918365164702,1.0,,
0.5,2.0,8,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,0.8,0.98,0,16.016809940338135,0.0001244263684680394,1.0,,
0.5,2.0,9,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,14.614670276641846,0.00019402037930899048,1.0,,
0.5,2.0,10,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,14.330682516098022,0.00021264748961346351,1.0,,
0.5,2.0,11,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,14.194168090820312,0.0002332374978318649,1.0,,
0.5,2.0,12,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0.9090909090909091,0.992,0,15.689385652542114,0.000143555182828084,1.0,,
0.5,2.0,13,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9795918367346939,1.0,0.65,0.0,1.0,0.65,0.974,13,0.787878787878788,0.986,0,32.09407639503479,0.015481430169642896,1.0,,
0.5,2.0,14,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,16.216851711273193,0.00020451874209527753,1.0,,
0.5,2.0,15,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.08966064453125,0.00044515232994640417,1.0,,
0.5,2.0,16,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,14.747089385986328,0.0003755220313800959,1.0,,
0.5,2.0,17,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.95,25,0.888888888888889,0.99,0,16.488954782485962,0.00011696158078513672,1.0,,
0.5,2.0,18,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.21287751197815,0.00023335079142900461,1.0,,
0.5,2.0,19,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,15.878437280654907,0.00020731227665749324,1.0,,
1.0,1.0,0,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.983050847457627,0.9944444444444445,0.75,0.0,1.0,0.75,0.97,15,0.8571428571428571,0.99,0,43.24231672286987,0.028167136801792267,1.0,,
1.0,1.0,1,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.44504976272583,0.000591871198108962,1.0,,
1.0,1.0,2,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.91268515586853,0.0004958370230571894,1.0,,
1.0,1.0,3,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0.9302325581395349,0.994,0,15.628186464309692,0.00014079661074201807,1.0,,
1.0,1.0,4,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9833333333333333,0.9836065573770492,1.0,0.6,0.0,1.0,0.6,0.976,12,0.7499999999999999,0.984,0,33.66940498352051,0.023655325973801336,1.0,,
1.0,1.0,5,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.767963886260986,0.00024043768213851806,1.0,,
1.0,1.0,6,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,16.0853853225708,0.00017500701929427646,1.0,,
1.0,1.0,7,"PFLClassifierCV (BAFL, gamma=1.0, cap=10.0)",pfl_classifier_cv,True,0.9333333333333333,0.9259259259259259,0.9654017857142858,0.55,0.0,1.0,0.55,0.978,11,0.7096774193548387,0.982,0,33.57909059524536,0.03886383690720334,1.0,,
