repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,best_gamma,cv_score,iteration,algo
0,42,56,15,0.18478225389373995,5,0.9987769080234834,4.907912492752075,5,"[623, 1284, 1638, 2563, 4002]",0.02592943797404667,0.5,-52.834878163953384,0,adaptive_lasso_cv
1,43,56,15,0.7302065970130013,0,1.0,5.332100868225098,0,[],0.05736152510448681,0.5,-53.36948887399526,1,adaptive_lasso_cv
2,44,56,15,1.0526423772963887,0,1.0,4.870207071304321,0,[],0.05736152510448681,0.5,-51.59779771751202,2,adaptive_lasso_cv
3,45,56,15,0.21693175463828382,58,0.985812133072407,4.836752891540527,58,"[33, 63, 72, 73, 281, 382, 418, 588, 607, 623, 653, 896, 1099, 1122, 1130, 1209, 1280, 1281, 1307, 1363, 1424, 1523, 1527, 1635, 1639, 1760, 1761, 1809, 1826, 1929, 2026, 2074, 2241, 2278, 2344, 2352, 2473, 2556, 2563, 2579, 2922, 2926, 2935, 3103, 3172, 3225, 3310, 3378, 3490, 3534, 3538, 3860, 3904, 3922, 3961, 3964, 3998, 4002]",9.999999999999999e-05,0.5,-51.48741150792888,3,adaptive_lasso_cv
4,46,56,15,0.2693330125457337,59,0.9855675146771037,5.70856785774231,59,"[25, 27, 72, 228, 281, 364, 414, 539, 584, 623, 813, 826, 973, 1033, 1081, 1094, 1107, 1130, 1206, 1278, 1293, 1302, 1502, 1523, 1527, 1584, 1594, 1639, 1761, 1809, 1826, 1858, 2026, 2087, 2094, 2115, 2264, 2304, 2473, 2483, 2738, 2873, 2929, 2930, 3103, 3225, 3328, 3378, 3478, 3513, 3770, 3873, 3922, 3964, 3972, 3997, 3998, 4002, 4069]",9.999999999999999e-05,0.5,-52.59463135921311,4,adaptive_lasso_cv
5,47,56,15,1.092778524480676,0,1.0,6.144254922866821,0,[],1.3738237958832638,1.0,-51.786519183281236,5,adaptive_lasso_cv
6,48,56,15,0.6317009539042749,0,1.0,4.919753551483154,0,[],0.28072162039411785,1.0,-52.197511647953014,6,adaptive_lasso_cv
7,49,56,15,0.30044134872344747,57,0.9860567514677103,5.024842262268066,57,"[32, 33, 56, 63, 72, 189, 413, 623, 653, 703, 858, 947, 1064, 1074, 1130, 1206, 1209, 1301, 1302, 1363, 1424, 1584, 1631, 1635, 1761, 1772, 1801, 1819, 1826, 1912, 2026, 2094, 2116, 2183, 2241, 2461, 2505, 2563, 2669, 2693, 2873, 2922, 2989, 3103, 3195, 3254, 3311, 3477, 3490, 3513, 3534, 3555, 3754, 3904, 3949, 4002, 4003]",9.999999999999999e-05,0.5,-51.288411602240764,7,adaptive_lasso_cv
8,50,56,15,0.18888515714120457,56,0.9863013698630136,5.430205583572388,56,"[11, 64, 72, 74, 137, 230, 363, 495, 579, 623, 690, 858, 1064, 1074, 1130, 1238, 1280, 1281, 1302, 1424, 1441, 1584, 1635, 1638, 1761, 1854, 1855, 1858, 2026, 2139, 2176, 2264, 2344, 2563, 2873, 2922, 3054, 3103, 3109, 3225, 3378, 3477, 3514, 3524, 3668, 3770, 3786, 3835, 3841, 3846, 3860, 3956, 3972, 4002, 4069, 4070]",9.999999999999999e-05,0.5,-51.70854935935752,8,adaptive_lasso_cv
9,51,56,15,0.2452591019552788,5,0.9987769080234834,5.911761045455933,5,"[623, 1284, 2563, 3807, 4003]",0.02592943797404667,0.5,-53.45368805383441,9,adaptive_lasso_cv
