repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
0,42,56,15,0.21380779927698876,57,0.9860567514677103,17.715039253234863,57,"[11, 72, 118, 143, 281, 418, 541, 623, 653, 858, 869, 1033, 1107, 1124, 1130, 1166, 1280, 1284, 1363, 1424, 1523, 1527, 1553, 1635, 1638, 1761, 1804, 1809, 1826, 1848, 1858, 1868, 1950, 2026, 2094, 2241, 2344, 2461, 2563, 2738, 2814, 2825, 2873, 3103, 3234, 3275, 3378, 3464, 3478, 3715, 3781, 3922, 3964, 3972, 4002, 4069, 4074]",0.001,0,lasso_cv
1,43,56,15,0.15522108139339513,48,0.9882583170254403,17.073502779006958,48,"[12, 58, 72, 124, 281, 579, 584, 623, 858, 1130, 1280, 1301, 1363, 1424, 1441, 1485, 1523, 1527, 1584, 1635, 1638, 1639, 1761, 1809, 1826, 1868, 2010, 2026, 2094, 2183, 2241, 2563, 2814, 2873, 2989, 3104, 3225, 3310, 3477, 3538, 3555, 3604, 3789, 3904, 3949, 3997, 4002, 4074]",0.01,1,lasso_cv
2,44,56,15,0.3449211169991399,45,0.9889921722113503,17.10902237892151,45,"[58, 72, 132, 243, 258, 281, 459, 555, 597, 764, 885, 941, 961, 1130, 1209, 1240, 1302, 1305, 1363, 1436, 1477, 1523, 1638, 1750, 1761, 1809, 1832, 1854, 1856, 1936, 1959, 2026, 2094, 2241, 2317, 2383, 2563, 2875, 3225, 3478, 3668, 3738, 3823, 4002, 4003]",0.01,2,lasso_cv
3,45,56,15,0.31542074672667547,23,0.9943737769080235,14.862608432769775,23,"[72, 287, 623, 826, 1094, 1122, 1281, 1293, 1311, 1363, 1502, 1515, 1635, 1639, 1826, 1995, 2115, 2563, 3085, 3310, 3513, 4002, 4074]",0.1,3,lasso_cv
4,46,56,15,0.20927340527200783,53,0.9870352250489237,17.111793279647827,53,"[27, 72, 228, 281, 364, 414, 418, 584, 623, 813, 826, 973, 1081, 1094, 1099, 1100, 1107, 1130, 1206, 1278, 1283, 1293, 1302, 1527, 1584, 1635, 1639, 1761, 1801, 1826, 1858, 2026, 2094, 2115, 2260, 2264, 2304, 2473, 2563, 2873, 2929, 3103, 3225, 3378, 3478, 3513, 3770, 3873, 3922, 3964, 3997, 3998, 4002]",0.01,4,lasso_cv
5,47,56,15,0.2358475325166928,47,0.9885029354207436,18.752147674560547,47,"[58, 133, 143, 243, 281, 364, 555, 597, 1103, 1122, 1124, 1302, 1305, 1311, 1315, 1355, 1363, 1424, 1477, 1502, 1515, 1524, 1527, 1638, 1761, 1809, 1826, 1848, 1854, 1936, 1959, 2026, 2241, 2304, 2344, 2563, 2771, 2873, 3104, 3310, 3478, 3669, 3751, 3821, 3997, 4002, 4003]",0.01,5,lasso_cv
6,48,56,15,0.1725581292663562,23,0.9943737769080235,17.300281763076782,23,"[72, 314, 623, 826, 973, 1122, 1130, 1277, 1281, 1302, 1311, 1424, 1527, 1638, 1761, 1826, 2094, 2563, 3310, 3513, 4002, 4003, 4074]",0.1,6,lasso_cv
7,49,56,15,0.28749297771190285,20,0.9951076320939335,17.873363733291626,20,"[414, 623, 1277, 1296, 1363, 1424, 1502, 1515, 1527, 1638, 1761, 1819, 1826, 2461, 2563, 2873, 3225, 4002, 4003, 4005]",0.1,7,lasso_cv
8,50,56,15,0.1968270122689083,51,0.9875244618395304,18.098294019699097,51,"[11, 64, 72, 74, 137, 230, 363, 364, 495, 623, 690, 1064, 1074, 1130, 1238, 1280, 1281, 1302, 1424, 1441, 1635, 1638, 1761, 1854, 1855, 2026, 2139, 2176, 2264, 2344, 2563, 2873, 2922, 3054, 3104, 3225, 3229, 3477, 3514, 3524, 3668, 3835, 3841, 3846, 3860, 3956, 4002, 4003, 4046, 4069, 4070]",0.01,8,lasso_cv
9,51,56,15,0.14988340850947263,51,0.9875244618395304,14.414731979370117,51,"[11, 33, 72, 243, 314, 541, 623, 858, 973, 1100, 1130, 1302, 1363, 1424, 1441, 1523, 1584, 1638, 1639, 1761, 1825, 1826, 1836, 1858, 1959, 2026, 2094, 2344, 2461, 2483, 2563, 2631, 2738, 2825, 2873, 2918, 2929, 3104, 3225, 3310, 3378, 3478, 3668, 3695, 3770, 3964, 3997, 4003, 4016, 4044, 4074]",0.01,9,lasso_cv
