repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,best_lambda_ridge,iteration,algo
0,42,56,15,0.17027015174424726,12,0.99706457925636,9.519276142120361,12,"[72, 623, 1281, 1284, 1523, 1638, 1761, 2026, 2094, 2563, 4002, 4003]",0.09551206488168613,100.0,0,pfl_regressor_cv
1,43,56,15,0.15179325583782602,17,0.9958414872798435,9.55031943321228,17,"[72, 623, 1276, 1280, 1296, 1424, 1523, 1639, 1761, 1826, 2026, 2183, 2563, 3225, 3513, 4002, 4074]",0.061527204620768695,100.0,1,pfl_regressor_cv
2,44,56,15,0.4472332746254949,11,0.9973091976516634,8.923144817352295,11,"[143, 1296, 1302, 1515, 1638, 1809, 1936, 2026, 2094, 2563, 4003]",0.07016224244279902,100.0,2,pfl_regressor_cv
3,45,56,15,0.46760684320530205,9,0.99779843444227,8.959847688674927,9,"[623, 1122, 1281, 1635, 1639, 2241, 2563, 3513, 4002]",0.1274739875963137,0.1,3,pfl_regressor_cv
4,46,56,15,0.1703628337943289,29,0.9929060665362035,10.418630599975586,29,"[72, 281, 364, 414, 418, 623, 826, 858, 1081, 1094, 1130, 1206, 1278, 1283, 1302, 1502, 1523, 1527, 1635, 1761, 1801, 1826, 2026, 2094, 2563, 2873, 3225, 3964, 4002]",0.026323558877011297,100.0,4,pfl_regressor_cv
5,47,56,15,0.26528738173932137,24,0.9941291585127201,11.019815921783447,24,"[58, 133, 143, 243, 314, 651, 1122, 1302, 1315, 1515, 1638, 1761, 1826, 1854, 1936, 2026, 2241, 2563, 2873, 3310, 3669, 3738, 4002, 4003]",0.03183605924813916,100.0,5,pfl_regressor_cv
6,48,56,15,0.22079418010483445,8,0.9980430528375734,8.82622742652893,8,"[623, 1281, 1302, 1761, 2563, 3513, 4002, 4003]",0.12717453870136552,100.0,6,pfl_regressor_cv
7,49,56,15,0.5312091442810508,7,0.9982876712328768,9.407155752182007,7,"[623, 1281, 1761, 2461, 2563, 4002, 4003]",0.14250681362364148,100.0,7,pfl_regressor_cv
8,50,56,15,0.1966034575619192,19,0.9953522504892368,9.053050756454468,19,"[72, 623, 1130, 1281, 1302, 1424, 1523, 1638, 1761, 1819, 1854, 2026, 2563, 2863, 2873, 3513, 3846, 4002, 4074]",0.05541874730545588,100.0,8,pfl_regressor_cv
9,51,56,15,0.12934305983791752,20,0.9951076320939335,11.583334684371948,20,"[72, 623, 1130, 1280, 1281, 1284, 1302, 1523, 1639, 1761, 1819, 1826, 1848, 2094, 2563, 3513, 3807, 4002, 4003, 4074]",0.06966082953620262,100.0,9,pfl_regressor_cv
