repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,iteration,algo
0,42,56,15,0.20578078036896527,20,0.9951076320939335,36.796319246292114,20,"[72, 142, 307, 623, 826, 1281, 1302, 1311, 1477, 1502, 1515, 1523, 1638, 1848, 2352, 2563, 3225, 3807, 4002, 4003]",0,relaxed_lasso_1se
1,43,56,15,0.06417664414034666,19,0.9953522504892368,35.65188121795654,19,"[72, 314, 623, 1278, 1282, 1296, 1363, 1424, 1527, 1638, 1639, 1761, 1826, 1856, 2563, 3513, 4002, 4003, 4074]",1,relaxed_lasso_1se
2,44,56,15,0.3395251589974729,23,0.9943737769080235,37.0798237323761,23,"[72, 132, 550, 555, 556, 651, 1122, 1296, 1302, 1311, 1477, 1479, 1515, 1638, 1745, 1826, 1936, 1959, 2026, 2563, 3738, 4002, 4003]",2,relaxed_lasso_1se
3,45,56,15,0.31510522187110385,13,0.9968199608610567,24.89866304397583,13,"[287, 623, 1094, 1122, 1281, 1293, 1311, 1515, 1639, 1995, 3513, 4002, 4074]",3,relaxed_lasso_1se
4,46,56,15,0.28458016691187127,31,0.9924168297455969,38.20538949966431,31,"[72, 364, 414, 418, 623, 826, 973, 1081, 1094, 1130, 1206, 1278, 1296, 1302, 1307, 1311, 1502, 1523, 1527, 1635, 1761, 1826, 1848, 2026, 2094, 2115, 2563, 3225, 4002, 4003, 4074]",4,relaxed_lasso_1se
5,47,56,15,0.23872746651069698,29,0.9929060665362035,40.32174372673035,29,"[58, 132, 143, 243, 314, 553, 554, 584, 651, 1122, 1302, 1311, 1315, 1515, 1524, 1638, 1761, 1826, 1856, 1959, 1995, 2026, 2241, 2563, 2873, 3310, 3738, 4002, 4003]",5,relaxed_lasso_1se
6,48,56,15,0.15197862574646134,17,0.9958414872798435,36.976417779922485,17,"[72, 623, 973, 1122, 1277, 1281, 1296, 1302, 1311, 1479, 1527, 1761, 2563, 3513, 4002, 4005, 4074]",6,relaxed_lasso_1se
7,49,56,15,0.3247752751829121,12,0.99706457925636,46.32444763183594,12,"[414, 623, 1278, 1296, 1479, 1515, 1527, 1587, 1761, 2563, 4002, 4005]",7,relaxed_lasso_1se
8,50,56,15,0.17030667786737436,26,0.9936399217221135,27.76124382019043,26,"[68, 72, 137, 230, 623, 791, 826, 1012, 1094, 1281, 1302, 1424, 1638, 1761, 1819, 1856, 1959, 2026, 2115, 2563, 3464, 3513, 3807, 4002, 4044, 4074]",8,relaxed_lasso_1se
9,51,56,15,0.13495192941382264,27,0.9933953033268101,45.352367877960205,27,"[72, 314, 414, 623, 973, 985, 1130, 1278, 1281, 1302, 1311, 1424, 1515, 1638, 1639, 1761, 1819, 1826, 1959, 2094, 2563, 3225, 3310, 3513, 4002, 4003, 4074]",9,relaxed_lasso_1se
