repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,iteration,algo
0,42,56,15,56.91957492364689,16,0.9960861056751468,10.261577606201172,16,"[623, 651, 826, 973, 1277, 1281, 1284, 1296, 1503, 1515, 1638, 2563, 3205, 3807, 4002, 4003]",0,unilasso_cv
1,43,56,15,51.35926405235685,19,0.9953522504892368,11.55319333076477,19,"[623, 973, 1122, 1296, 1302, 1311, 1502, 1515, 1638, 1639, 1761, 1826, 2563, 3225, 3513, 4002, 4003, 4005, 4074]",1,unilasso_cv
2,44,56,15,53.279161573249034,14,0.9965753424657534,8.524151086807251,14,"[651, 1122, 1296, 1302, 1311, 1477, 1501, 1515, 1587, 1602, 1638, 2563, 4002, 4003]",2,unilasso_cv
3,45,56,15,50.10411798653882,9,0.99779843444227,9.72223162651062,9,"[623, 1122, 1277, 1311, 1500, 1515, 1639, 2563, 4002]",3,unilasso_cv
4,46,56,15,52.48750839023377,25,0.9938845401174168,9.986194372177124,25,"[69, 307, 364, 414, 418, 623, 1094, 1122, 1296, 1302, 1311, 1477, 1502, 1515, 1527, 1638, 1639, 1826, 2094, 2563, 2873, 3225, 3513, 4002, 4003]",4,unilasso_cv
5,47,56,15,52.35528140387148,10,0.9975538160469667,10.585107564926147,10,"[651, 1122, 1296, 1302, 1311, 1501, 1515, 1995, 3310, 4002]",5,unilasso_cv
6,48,56,15,52.71098995164022,18,0.9955968688845401,10.472545862197876,18,"[623, 651, 973, 1122, 1277, 1296, 1302, 1305, 1311, 1515, 1527, 1638, 1761, 1995, 2563, 3310, 3513, 4002]",6,unilasso_cv
7,49,56,15,53.05046612637506,6,0.9985322896281801,10.23647141456604,6,"[1277, 1296, 1515, 1587, 2563, 4002]",7,unilasso_cv
8,50,56,15,51.56907498329704,19,0.9953522504892368,9.865569591522217,19,"[149, 307, 623, 826, 1012, 1094, 1302, 1311, 1478, 1515, 1523, 1638, 1761, 1819, 2563, 2873, 3513, 3846, 4002]",8,unilasso_cv
9,51,56,15,51.410182893279476,17,0.9958414872798435,9.411919832229614,17,"[623, 824, 973, 976, 1277, 1278, 1281, 1296, 1302, 1311, 1515, 1638, 2563, 3513, 3807, 4002, 4003]",9,unilasso_cv
10,52,56,15,53.6998200342476,19,0.9953522504892368,9.356721878051758,19,"[72, 307, 314, 414, 623, 973, 1122, 1302, 1311, 1515, 1638, 1639, 1761, 1819, 2563, 2873, 3225, 3513, 4002]",10,unilasso_cv
11,53,56,15,55.976637176429456,12,0.99706457925636,8.406233072280884,12,"[973, 976, 1277, 1296, 1302, 1311, 1515, 1638, 2563, 3205, 4002, 4003]",11,unilasso_cv
12,54,56,15,54.69071070822395,7,0.9982876712328768,9.898476600646973,7,"[623, 1277, 1501, 1515, 1587, 2563, 4002]",12,unilasso_cv
13,55,56,15,51.872295436621556,9,0.99779843444227,9.087484121322632,9,"[1277, 1284, 1311, 1501, 1502, 1515, 1587, 2563, 4002]",13,unilasso_cv
14,56,56,15,51.00680447966122,28,0.9931506849315068,9.925647258758545,28,"[243, 287, 314, 623, 858, 1122, 1302, 1311, 1478, 1503, 1523, 1597, 1639, 1761, 1819, 1826, 1856, 1874, 1959, 2026, 2241, 2563, 3225, 3464, 3513, 4002, 4003, 4074]",14,unilasso_cv
15,57,56,15,50.32934255474579,11,0.9973091976516634,11.75370740890503,11,"[623, 1277, 1296, 1311, 1515, 1638, 1959, 2563, 3513, 3807, 4002]",15,unilasso_cv
16,58,56,15,50.95387052819551,13,0.9968199608610567,9.86832571029663,13,"[623, 824, 973, 976, 1278, 1296, 1302, 1515, 1587, 2563, 3513, 4002, 4003]",16,unilasso_cv
17,59,56,15,52.34623271752816,11,0.9973091976516634,7.962534666061401,11,"[623, 973, 1278, 1296, 1311, 1501, 1587, 1761, 1995, 2563, 4002]",17,unilasso_cv
18,60,56,15,50.36729320748912,22,0.9946183953033269,8.75956106185913,22,"[132, 414, 623, 826, 973, 1277, 1281, 1296, 1302, 1311, 1435, 1515, 1523, 1638, 1761, 1959, 2094, 2563, 2873, 3513, 4002, 4003]",18,unilasso_cv
19,61,56,15,53.199615568463905,14,0.9965753424657534,8.648455381393433,14,"[554, 623, 1122, 1296, 1302, 1501, 1515, 1587, 1761, 1959, 2563, 2771, 2873, 4003]",19,unilasso_cv
20,62,56,15,49.90144008689929,17,0.9958414872798435,10.946598768234253,17,"[124, 623, 1122, 1277, 1284, 1296, 1311, 1363, 1500, 1515, 1635, 1638, 1995, 2183, 3513, 4002, 4003]",20,unilasso_cv
21,63,56,15,52.74555365765805,13,0.9968199608610567,8.475985527038574,13,"[623, 1277, 1278, 1296, 1311, 1477, 1515, 1819, 1995, 2563, 3513, 3807, 4002]",21,unilasso_cv
22,64,56,15,51.97826470888586,17,0.9958414872798435,9.433239698410034,17,"[623, 973, 976, 985, 1277, 1296, 1311, 1502, 1515, 1638, 2094, 2563, 2873, 3205, 3320, 3513, 4002]",22,unilasso_cv
23,65,56,15,50.376979308722426,21,0.9948630136986302,10.674345970153809,21,"[623, 953, 1122, 1277, 1296, 1308, 1311, 1477, 1489, 1515, 1638, 1639, 1826, 1995, 2027, 2278, 2563, 3310, 3513, 4003, 4007]",23,unilasso_cv
24,66,56,15,51.18283587685098,21,0.9948630136986302,10.570950031280518,21,"[623, 824, 977, 1122, 1258, 1302, 1311, 1515, 1523, 1761, 1819, 1995, 2563, 2566, 2873, 3225, 3230, 3310, 3513, 4002, 4074]",24,unilasso_cv
25,67,56,15,52.126285249288195,21,0.9948630136986302,7.967985153198242,21,"[3, 414, 553, 623, 824, 826, 973, 1296, 1302, 1363, 1515, 1638, 1819, 1826, 2027, 2563, 2873, 3225, 3287, 3513, 4003]",25,unilasso_cv
26,68,56,15,50.28587117983834,15,0.9963307240704501,10.23845887184143,15,"[623, 1122, 1302, 1311, 1515, 1587, 1638, 1761, 1848, 2563, 3205, 3513, 3807, 4002, 4003]",26,unilasso_cv
27,69,56,15,52.40254892690466,17,0.9958414872798435,9.20484972000122,17,"[314, 623, 651, 826, 973, 1122, 1277, 1311, 1478, 1489, 1515, 1638, 1639, 2873, 3513, 4003, 4074]",27,unilasso_cv
28,70,56,15,52.38828334576933,12,0.99706457925636,10.398215055465698,12,"[973, 1258, 1277, 1296, 1311, 1515, 1638, 1995, 3310, 3738, 3807, 4003]",28,unilasso_cv
29,71,56,15,53.27207548452428,14,0.9965753424657534,11.302996397018433,14,"[287, 623, 973, 1122, 1296, 1311, 1515, 1523, 1638, 1639, 2563, 3513, 4002, 4003]",29,unilasso_cv
30,72,56,15,50.99589815530361,20,0.9951076320939335,8.14173674583435,20,"[414, 623, 826, 1085, 1207, 1278, 1281, 1296, 1302, 1477, 1502, 1515, 1527, 1587, 1638, 1761, 2094, 2563, 2771, 4003]",30,unilasso_cv
31,73,56,15,48.44201292278448,14,0.9965753424657534,7.640528440475464,14,"[623, 1277, 1281, 1296, 1302, 1311, 1523, 1638, 2563, 3205, 3513, 3807, 4002, 4074]",31,unilasso_cv
32,74,56,15,53.803697104098966,24,0.9941291585127201,8.784348249435425,24,"[132, 141, 623, 651, 953, 973, 1122, 1281, 1302, 1311, 1489, 1503, 1515, 1523, 1638, 1761, 1819, 2094, 2563, 3225, 3310, 3513, 3807, 4002]",32,unilasso_cv
33,75,56,15,53.03062652375399,5,0.9987769080234834,8.848666906356812,5,"[1296, 1515, 1587, 2563, 4002]",33,unilasso_cv
34,76,56,15,54.4476049893029,8,0.9980430528375734,9.297866821289062,8,"[623, 826, 973, 1281, 1587, 2563, 3807, 4002]",34,unilasso_cv
35,77,56,15,52.74089412269188,22,0.9946183953033269,9.180894613265991,22,"[69, 132, 307, 550, 556, 1122, 1258, 1302, 1311, 1477, 1503, 1515, 1638, 1745, 1809, 1856, 1959, 1995, 2563, 3310, 4002, 4003]",35,unilasso_cv
36,78,56,15,55.79553262331133,12,0.99706457925636,7.291179656982422,12,"[623, 826, 973, 1094, 1281, 1477, 1587, 1761, 1995, 2563, 3085, 4002]",36,unilasso_cv
37,79,56,15,55.58560688616331,24,0.9941291585127201,9.531688928604126,24,"[132, 550, 553, 651, 953, 971, 1122, 1296, 1302, 1503, 1515, 1523, 1761, 1809, 1826, 1856, 1959, 2563, 2566, 2873, 3310, 4002, 4003, 4072]",37,unilasso_cv
38,80,56,15,52.82673776741954,19,0.9953522504892368,9.067935943603516,19,"[132, 141, 623, 973, 1012, 1122, 1281, 1296, 1311, 1515, 1638, 1639, 1856, 1995, 2115, 2563, 3225, 3513, 4002]",38,unilasso_cv
39,81,56,15,55.67428756871696,10,0.9975538160469667,9.909218072891235,10,"[623, 826, 1277, 1296, 1311, 1587, 1995, 2563, 3310, 4002]",39,unilasso_cv
40,82,56,15,51.0801583767475,4,0.9990215264187867,9.574878454208374,4,"[1277, 3513, 3807, 4002]",40,unilasso_cv
41,83,56,15,52.86984976556976,9,0.99779843444227,11.547335863113403,9,"[623, 826, 1277, 1296, 1502, 1515, 1587, 2563, 4002]",41,unilasso_cv
42,84,56,15,54.22859310717932,6,0.9985322896281801,10.451442003250122,6,"[1122, 1277, 1515, 1995, 3513, 4002]",42,unilasso_cv
43,85,56,15,51.66915083456843,14,0.9965753424657534,9.058978796005249,14,"[623, 826, 1277, 1296, 1302, 1311, 1515, 1587, 1638, 1995, 2563, 3205, 4002, 4003]",43,unilasso_cv
44,86,56,15,53.31171984482275,14,0.9965753424657534,10.500802278518677,14,"[623, 826, 1122, 1207, 1209, 1281, 1296, 1311, 1527, 1587, 1761, 1995, 2563, 4002]",44,unilasso_cv
45,87,56,15,49.423568524556494,23,0.9943737769080235,9.624131917953491,23,"[141, 314, 623, 1122, 1293, 1302, 1363, 1515, 1527, 1638, 1761, 1819, 1848, 1959, 2563, 2738, 2873, 3205, 3225, 3310, 3513, 4002, 4003]",45,unilasso_cv
46,88,56,15,55.687792187288906,13,0.9968199608610567,10.982840061187744,13,"[623, 973, 977, 1277, 1296, 1311, 1479, 1515, 1638, 1819, 2563, 2873, 4002]",46,unilasso_cv
47,89,56,15,48.71728493722919,22,0.9946183953033269,9.008646249771118,22,"[414, 623, 1207, 1281, 1282, 1478, 1479, 1502, 1515, 1587, 1647, 1761, 1819, 1848, 2010, 2563, 3205, 3310, 3320, 3513, 4002, 4003]",47,unilasso_cv
48,90,56,15,50.34203532652195,17,0.9958414872798435,10.468653917312622,17,"[623, 973, 1277, 1302, 1311, 1515, 1587, 1638, 1761, 1819, 1995, 2563, 3310, 3513, 3738, 3807, 4002]",48,unilasso_cv
49,91,56,15,53.16969492232608,20,0.9951076320939335,11.462458372116089,20,"[132, 550, 651, 824, 1122, 1296, 1302, 1308, 1311, 1501, 1515, 1638, 1663, 1761, 1959, 3225, 3310, 3513, 4002, 4003]",49,unilasso_cv
