test_mse,model_size,sparsity,selected_features,train_time,n_selected,best_alpha,coef,iteration,algo
0.7660551721166932,19,0.9814453125,"[34, 156, 157, 165, 304, 454, 472, 535, 556, 562, 624, 625, 638, 667, 668, 676, 688, 984, 1009]",1.2086725234985352,19,0.18873918221350977,[ 0.  0.  0. ...  0.  0. -0.],0,lasso_cv
0.5702162723051938,20,0.98046875,"[32, 34, 88, 156, 157, 165, 255, 304, 472, 556, 624, 625, 668, 676, 701, 802, 954, 984, 1008, 1009]",1.0162618160247803,20,0.18873918221350977,[ 0.  0.  0. ...  0.  0. -0.],1,lasso_cv
0.9261735357306924,11,0.9892578125,"[34, 43, 64, 156, 157, 299, 472, 624, 625, 984, 1009]",0.8647592067718506,11,0.18873918221350977,[ 0.  0.  0. ...  0.  0. -0.],2,lasso_cv
0.4974663498664347,45,0.9560546875,"[32, 34, 53, 64, 88, 92, 142, 151, 156, 157, 162, 196, 210, 280, 287, 304, 352, 364, 408, 458, 472, 491, 506, 535, 555, 625, 626, 639, 667, 668, 676, 712, 715, 738, 772, 780, 802, 829, 830, 917, 959, 983, 984, 1008, 1009]",1.050436019897461,45,0.12689610031679233,[ 0.  0.  0. ...  0.  0. -0.],3,lasso_cv
0.6944718251998538,25,0.9755859375,"[34, 43, 64, 88, 151, 156, 165, 196, 282, 303, 350, 472, 535, 622, 625, 660, 676, 712, 738, 802, 917, 983, 984, 1009, 1017]",1.1199867725372314,25,0.12689610031679233,[ 0.  0.  0. ...  0.  0. -0.],4,lasso_cv
0.32092203761206944,34,0.966796875,"[31, 32, 34, 53, 64, 88, 92, 151, 156, 157, 162, 165, 280, 287, 350, 428, 458, 472, 491, 506, 624, 625, 667, 668, 676, 701, 738, 772, 802, 886, 984, 1008, 1009, 1017]",0.9173321723937988,34,0.12689610031679233,[ 0.  0.  0. ...  0.  0. -0.],5,lasso_cv
0.5995426060940308,26,0.974609375,"[31, 32, 34, 43, 64, 88, 156, 282, 304, 472, 491, 506, 624, 625, 667, 668, 676, 738, 802, 829, 886, 917, 984, 1001, 1008, 1009]",0.9846744537353516,26,0.12689610031679233,[ 0.  0.  0. ...  0.  0. -0.],6,lasso_cv
0.667487810474164,28,0.97265625,"[31, 32, 34, 48, 156, 165, 218, 304, 350, 390, 454, 472, 492, 506, 562, 624, 638, 668, 676, 679, 688, 736, 738, 829, 928, 984, 1009, 1017]",1.0215625762939453,28,0.12689610031679233,[ 0.  0.  0. ...  0.  0. -0.],7,lasso_cv
0.826422584344968,44,0.95703125,"[5, 9, 31, 32, 34, 64, 88, 156, 162, 177, 237, 263, 281, 282, 283, 288, 303, 313, 325, 437, 454, 458, 472, 491, 506, 540, 555, 556, 562, 584, 624, 626, 639, 676, 688, 738, 802, 894, 909, 914, 928, 980, 984, 1009]",1.104161024093628,44,0.08531678524172814,[ 0.  0.  0. ...  0.  0. -0.],8,lasso_cv
0.9238407538839585,7,0.9931640625,"[34, 156, 157, 472, 668, 676, 984]",1.048619270324707,7,0.28072162039411785,[ 0.  0.  0. ...  0.  0. -0.],9,lasso_cv
