idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,0,1.0,0.01,0.5,2.3334983236245557,0.9893086385173945,0.17467248908296942,1.0,0.9043062200956937,0.09569377990430622,1.0,0.5820000000000001,209,0,0.1420433521270752
0,1,1.0,0.01,0.5,2.1342081086151405,0.9885720112512577,0.17699115044247787,1.0,0.9029126213592233,0.0970873786407767,1.0,0.5880000000000001,206,1,0.13284945487976074
0,2,1.0,0.01,0.5,3.4385205892722563,0.9839584202826862,0.17167381974248927,1.0,0.9061032863849765,0.09389671361502347,1.0,0.5740000000000001,213,2,0.1284008026123047
0,3,1.0,0.01,0.5,3.6710539162356683,0.9816310023259052,0.17316017316017313,1.0,0.9052132701421801,0.0947867298578199,1.0,0.5780000000000001,211,3,0.14138174057006836
0,4,1.0,0.01,0.5,2.9493327884017466,0.9880796987647538,0.18779342723004694,1.0,0.8963730569948186,0.10362694300518134,1.0,0.614,193,4,0.1379380226135254
1,0,1.0,0.01,1.0,3.3423993844625244,0.984686168540708,0.15325670498084293,1.0,0.91701244813278,0.08298755186721991,1.0,0.518,241,0,0.14710235595703125
1,1,1.0,0.01,1.0,3.335419902125116,0.9821399136476197,0.15810276679841898,1.0,0.9141630901287554,0.08583690987124463,1.0,0.534,233,1,0.14549851417541504
1,2,1.0,0.01,1.0,4.981947997077039,0.9767579359007016,0.145985401459854,1.0,0.9212598425196851,0.07874015748031496,1.0,0.492,254,2,0.1477642059326172
1,3,1.0,0.01,1.0,5.649079685014485,0.9717334765539996,0.1486988847583643,1.0,0.9196787148594378,0.08032128514056225,1.0,0.502,249,3,0.13939952850341797
1,4,1.0,0.01,1.0,3.988652197734936,0.9838790875324067,0.1606425702811245,1.0,0.9126637554585153,0.08733624454148471,1.0,0.542,229,4,0.14267444610595703
2,0,1.0,0.01,2.0,6.4639593249319995,0.9703841545322551,0.11560693641618495,1.0,0.9386503067484663,0.06134969325153374,1.0,0.348,326,0,0.1430363655090332
2,1,1.0,0.01,2.0,6.11233680000077,0.9672704288316767,0.125,1.0,0.9333333333333333,0.06666666666666667,1.0,0.4,300,1,0.14480900764465332
2,2,1.0,0.01,2.0,18.361221797758784,0.9143401949969521,0.09523809523809523,0.85,0.9495548961424333,0.050445103857566766,0.85,0.32599999999999996,337,2,0.15597224235534668
2,3,1.0,0.01,2.0,9.013889555173275,0.9548968443254823,0.11461318051575933,1.0,0.939209726443769,0.060790273556231005,1.0,0.34199999999999997,329,3,0.15311551094055176
2,4,1.0,0.01,2.0,3.93967727132968,0.9840770292085785,0.12012012012012012,1.0,0.9361022364217252,0.06389776357827476,1.0,0.374,313,4,0.14446449279785156
3,0,1.0,0.1,0.5,1.1795877604918856,0.9945954968040058,0.45454545454545453,1.0,0.7058823529411765,0.29411764705882354,1.0,0.864,68,0,0.06549549102783203
3,1,1.0,0.1,0.5,1.341857824342299,0.9928147887466579,0.39215686274509803,1.0,0.7560975609756098,0.24390243902439024,1.0,0.836,82,1,0.07125425338745117
3,2,1.0,0.1,0.5,1.8579662555163219,0.9913321112885202,0.4081632653061224,1.0,0.7435897435897436,0.2564102564102564,1.0,0.844,78,2,0.061213016510009766
3,3,1.0,0.1,0.5,2.248160922471759,0.9887507882754769,0.3846153846153846,1.0,0.7619047619047619,0.23809523809523808,1.0,0.832,84,3,0.07203555107116699
3,4,1.0,0.1,0.5,1.4042901591395491,0.9943242886036925,0.47058823529411764,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,4,0.04091286659240723
4,0,1.0,0.1,1.0,1.9601955448875066,0.991018995413533,0.22727272727272727,1.0,0.8717948717948718,0.1282051282051282,1.0,0.688,156,0,0.12780356407165527
4,1,1.0,0.1,1.0,1.7359791071989579,0.9907043977459188,0.23952095808383236,1.0,0.8639455782312925,0.1360544217687075,1.0,0.706,147,1,0.1263272762298584
4,2,1.0,0.1,1.0,3.1830211859477227,0.9851503904744436,0.20512820512820512,1.0,0.8857142857142857,0.11428571428571428,1.0,0.65,175,2,0.13534140586853027
