idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
33,2,50.0,1.0,0.5,2.0969618690370906,0.9902171355055212,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.0150732994079589
9,2,1.0,1.0,0.5,2.091157484626929,0.9902442144462482,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.0151448249816894
21,2,10.0,1.0,0.5,2.0881543107614187,0.9902582250219356,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.0156831741333007
21,1,10.0,1.0,0.5,1.2803750696490208,0.9931440088569368,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,1,0.0150427818298339
9,1,1.0,1.0,0.5,1.2932002544090764,0.9930753341730824,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,1,0.0156130790710449
33,1,50.0,1.0,0.5,1.241809006262617,0.993350517555261,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,1,0.0153703689575195
33,4,50.0,1.0,0.5,1.746788850661812,0.9929400136274408,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,4,0.0151135921478271
21,4,10.0,1.0,0.5,1.7288495225201117,0.9930125189060068,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,4,0.0157463550567626
21,3,10.0,1.0,0.5,2.528744257167367,0.9873468223463416,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,3,0.0160670280456542
9,4,1.0,1.0,0.5,1.7780144693473394,0.992813809225397,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,4,0.0152654647827148
33,0,50.0,1.0,0.5,1.3020252439204454,0.9940345264441378,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,0,0.0170743465423584
21,0,10.0,1.0,0.5,1.2544332001835496,0.9942525783442124,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,0,0.0172765254974365
9,0,1.0,1.0,0.5,1.2796103284949705,0.9941372245952312,0.9302325581395348,1.0,0.1304347826086956,0.8695652173913043,1.0,0.954,23,0,0.0170996189117431
6,0,1.0,0.5,0.5,1.059819784729771,0.9951442363123864,0.9090909090909092,1.0,0.1666666666666666,0.8333333333333334,1.0,0.952,24,0,0.0197234153747558
9,3,1.0,1.0,0.5,2.481492621290114,0.9875832572256248,0.9090909090909092,1.0,0.1666666666666666,0.8333333333333334,1.0,0.952,24,3,0.0159814357757568
18,0,10.0,0.5,0.5,1.053733142925626,0.9951721234066624,0.9090909090909092,1.0,0.1666666666666666,0.8333333333333334,1.0,0.952,24,0,0.020277976989746
33,3,50.0,1.0,0.5,2.467947098373609,0.9876510354943794,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,3,0.0174930095672607
30,0,50.0,0.5,0.5,1.067350432664535,0.9951097332324168,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,0.0193948745727539
6,4,1.0,0.5,0.5,1.4643843093547366,0.9940814064251,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.0172891616821289
18,3,10.0,0.5,0.5,2.2833733305148174,0.98857459455667,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,3,0.0180761814117431
18,4,10.0,0.5,0.5,1.4471192372133446,0.994151186567098,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,0.0176565647125244
6,3,1.0,0.5,0.5,2.2723548237634383,0.9886297282946936,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,3,0.018463134765625
30,3,50.0,0.5,0.5,2.27352691840937,0.9886238634383564,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,3,0.0186223983764648
30,4,50.0,0.5,0.5,1.43988564733056,0.994180422525398,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,4,0.0179290771484375
22,3,10.0,1.0,1.0,2.2561517224200656,0.9887108043937324,0.8695652173913044,1.0,0.2307692307692307,0.7692307692307693,1.0,0.948,26,3,0.018634557723999
30,2,50.0,0.5,0.5,1.796795825814648,0.9916174870188452,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,2,0.0188710689544677
34,0,50.0,1.0,1.0,1.0223394929035607,0.9953159593191402,0.851063829787234,1.0,0.2592592592592592,0.7407407407407407,1.0,0.946,27,0,0.0207142829895019
34,4,50.0,1.0,1.0,1.332677940491229,0.9946137232927073,0.8333333333333333,1.0,0.2857142857142857,0.7142857142857143,1.0,0.944,28,4,0.0197060108184814
10,0,1.0,1.0,1.0,1.0190373531406227,0.9953310886935708,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,0.0246987342834472
18,2,10.0,0.5,0.5,1.7742507794901907,0.9917226654374282,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,2,0.0195000171661376
6,2,1.0,0.5,0.5,1.765130561634462,0.9917652135909067,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,2,0.0191397666931152
10,4,1.0,1.0,1.0,1.340382773604894,0.9945825827133724,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,4,0.0213017463684082
34,2,50.0,1.0,1.0,1.7078691507124175,0.9920323527468852,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,2,0.0221176147460937
6,1,1.0,0.5,0.5,1.145441365342982,0.9938665348600996,0.7692307692307693,1.0,0.375,0.625,1.0,0.936,32,1,0.0205521583557128
18,1,10.0,0.5,0.5,1.1418836978321345,0.9938855850099524,0.7692307692307693,1.0,0.375,0.625,1.0,0.936,32,1,0.0194687843322753
30,1,50.0,0.5,0.5,1.1395193810763622,0.9938982451554996,0.7692307692307693,1.0,0.375,0.625,1.0,0.936,32,1,0.0203285217285156
10,3,1.0,1.0,1.0,2.219465065548044,0.9888943748697128,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.934,33,3,0.0261096954345703
22,0,10.0,1.0,1.0,1.034512910187092,0.9952601845181304,0.7272727272727273,1.0,0.4285714285714285,0.5714285714285714,1.0,0.93,35,0,0.03190279006958
10,1,1.0,1.0,1.0,1.1469366415483944,0.9938585281434243,0.7142857142857143,1.0,0.4444444444444444,0.5555555555555556,1.0,0.928,36,1,0.0250346660614013
22,2,10.0,1.0,1.0,1.704586248005381,0.9920476683293024,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,2,0.0269355773925781
22,1,10.0,1.0,1.0,1.1496429308690237,0.9938440368462628,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,1,0.0247418880462646
19,3,10.0,0.5,1.0,2.1948181793766324,0.9890177014688546,0.6779661016949152,1.0,0.4871794871794871,0.5128205128205128,1.0,0.922,39,3,0.0296871662139892
31,0,50.0,0.5,1.0,1.0379290427234669,0.995244532864367,0.6451612903225806,1.0,0.5238095238095238,0.4761904761904761,1.0,0.916,42,0,0.0330924987792968
22,4,10.0,1.0,1.0,1.3662149734339486,0.9944781768610582,0.6153846153846153,1.0,0.5555555555555556,0.4444444444444444,1.0,0.91,45,4,0.0277662277221679
31,4,50.0,0.5,1.0,1.421966042724622,0.994252848087464,0.5714285714285715,1.0,0.6,0.4,1.0,0.9,50,4,0.0338199138641357
31,2,50.0,0.5,1.0,1.776993182722177,0.9917098714235724,0.5633802816901409,1.0,0.6078431372549019,0.392156862745098,1.0,0.898,51,2,0.0524671077728271
10,2,1.0,1.0,1.0,1.711763272329815,0.9920141856716176,0.5633802816901409,1.0,0.6078431372549019,0.392156862745098,1.0,0.898,51,2,0.0357141494750976
7,4,1.0,0.5,1.0,1.4204973957278044,0.994258783909518,0.5194805194805194,1.0,0.6491228070175439,0.3508771929824561,1.0,0.886,57,4,0.0392155647277832
7,0,1.0,0.5,1.0,1.1222419199872975,0.994858237558585,0.5194805194805194,1.0,0.6491228070175439,0.3508771929824561,1.0,0.886,57,0,0.0482206344604492
7,1,1.0,0.5,1.0,1.2910317652741137,0.993086945725553,0.5128205128205129,1.0,0.6551724137931034,0.3448275862068966,1.0,0.884,58,1,0.0477807521820068
19,1,10.0,0.5,1.0,1.3001578099337123,0.9930380787311538,0.4938271604938271,1.0,0.6721311475409836,0.3278688524590163,1.0,0.878,61,1,0.0569314956665039
34,3,50.0,1.0,1.0,2.2056761705306305,0.9889633709090744,0.4705882352941176,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,3,0.0552341938018798
3,4,1.0,0.1,0.5,1.4042901591395491,0.9943242886036924,0.4705882352941176,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,4,0.0409128665924072
34,1,50.0,1.0,1.0,1.3304258857335245,0.9928760030515188,0.4705882352941176,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,1,0.0554487705230712
19,2,10.0,0.5,1.0,1.7680844179984034,0.9917514330940026,0.4705882352941176,1.0,0.6923076923076923,0.3076923076923077,1.0,0.87,65,2,0.0530517101287841
3,0,1.0,0.1,0.5,1.1795877604918856,0.9945954968040058,0.4545454545454545,1.0,0.7058823529411765,0.2941176470588235,1.0,0.864,68,0,0.065495491027832
27,0,50.0,0.1,0.5,1.166171264041229,0.9946569670060332,0.449438202247191,1.0,0.7101449275362319,0.2898550724637681,1.0,0.862,69,0,0.0709369182586669
19,0,10.0,0.5,1.0,1.203369464007146,0.9944865364561968,0.449438202247191,1.0,0.7101449275362319,0.2898550724637681,1.0,0.862,69,0,0.0767188072204589
27,4,50.0,0.1,0.5,1.4314902809041776,0.9942143540292204,0.4444444444444445,1.0,0.7142857142857143,0.2857142857142857,1.0,0.86,70,4,0.0434386730194091
15,4,10.0,0.1,0.5,1.422406645077758,0.9942510673074872,0.4395604395604395,1.0,0.7183098591549296,0.2816901408450704,1.0,0.858,71,4,0.0435872077941894
15,0,10.0,0.1,0.5,1.1938987448504694,0.994529928337382,0.4347826086956522,1.0,0.7222222222222222,0.2777777777777778,1.0,0.856,72,0,0.0732285976409912
15,3,10.0,0.1,0.5,2.2143920156829155,0.9889197590899664,0.4210526315789474,1.0,0.7333333333333333,0.2666666666666666,1.0,0.85,75,3,0.0634233951568603
19,4,10.0,0.5,1.0,1.557168637627126,0.9937064005433404,0.4210526315789474,1.0,0.7333333333333333,0.2666666666666666,1.0,0.85,75,4,0.0526769161224365
3,2,1.0,0.1,0.5,1.8579662555163217,0.9913321112885202,0.4081632653061224,1.0,0.7435897435897436,0.2564102564102564,1.0,0.844,78,2,0.0612130165100097
15,2,10.0,0.1,0.5,1.863833433376258,0.9913047394002582,0.4040404040404041,1.0,0.7468354430379747,0.2531645569620253,1.0,0.842,79,2,0.0599896907806396
27,3,50.0,0.1,0.5,2.2709081068663117,0.9886369672892508,0.396039603960396,1.0,0.7530864197530864,0.2469135802469135,1.0,0.838,81,3,0.0677363872528076
7,3,1.0,0.5,1.0,2.292096658089481,0.9885309452974692,0.396039603960396,1.0,0.7530864197530864,0.2469135802469135,1.0,0.838,81,3,0.0735113620758056
27,2,50.0,0.1,0.5,1.8799512562378669,0.9912295456261944,0.396039603960396,1.0,0.7530864197530864,0.2469135802469135,1.0,0.838,81,2,0.0541648864746093
7,2,1.0,0.5,1.0,1.846967166020651,0.991383424859686,0.392156862745098,1.0,0.7560975609756098,0.2439024390243902,1.0,0.836,82,2,0.0674693584442138
3,1,1.0,0.1,0.5,1.341857824342299,0.992814788746658,0.392156862745098,1.0,0.7560975609756098,0.2439024390243902,1.0,0.836,82,1,0.0712542533874511
3,3,1.0,0.1,0.5,2.248160922471759,0.9887507882754768,0.3846153846153846,1.0,0.7619047619047619,0.238095238095238,1.0,0.832,84,3,0.0720355510711669
15,1,10.0,0.1,0.5,1.356088114146171,0.9927385901833062,0.3809523809523809,1.0,0.7647058823529411,0.2352941176470588,1.0,0.83,85,1,0.072270393371582
