sigma,method,mse,tpr,fdr,f1,n_selected
0.5,1. UniLasso (基准),40.2882,0.069,0.0776,0.1251,7.8
0.5,2. 软约束,55.4108,0.058,0.078,0.106,6.6
0.5,3. 软约束+自适应惩罚,55.4108,0.058,0.078,0.106,6.6
0.5,4. 软约束+组约束,53.3406,0.037,0.031,0.0695,3.9
0.5,5. 完整XLasso,53.3406,0.037,0.031,0.0695,3.9
1.0,1. UniLasso (基准),44.1551,0.067,0.054,0.1217,7.4
1.0,2. 软约束,59.3155,0.053,0.0852,0.0973,6.1
1.0,3. 软约束+自适应惩罚,59.3155,0.053,0.0852,0.0973,6.1
1.0,4. 软约束+组约束,63.5232,0.037,0.031,0.0695,3.9
1.0,5. 完整XLasso,63.5232,0.037,0.031,0.0695,3.9
2.5,1. UniLasso (基准),50.9511,0.06,0.0702,0.1096,6.9
2.5,2. 软约束,63.0805,0.051,0.1256,0.0943,6.3
2.5,3. 软约束+自适应惩罚,63.0805,0.051,0.1256,0.0943,6.3
2.5,4. 软约束+组约束,67.0881,0.037,0.0556,0.07,4.1
2.5,5. 完整XLasso,67.0881,0.037,0.0556,0.07,4.1
