scenario,sigma,repeat,method,mse,tpr,fdr,f1,n_selected,time
Low SNR (σ=0.5),0.5,0,UniLasso,1.1492087481290314,1.0,0.29577464788732394,0.8264462809917354,71,3.503854751586914
Low SNR (σ=0.5),0.5,0,Soft Constraint,347.1845433408156,0.0,0.0,0.0,0,18.634267568588257
Low SNR (σ=0.5),0.5,0,Soft + Adaptive,354.9889351248886,0.0,0.0,0.0,0,19.97774577140808
Low SNR (σ=0.5),0.5,0,Soft + Group,354.9889351248886,0.0,0.0,0.0,0,25.53910994529724
Low SNR (σ=0.5),0.5,0,Full XLasso,371.52207414121517,0.0,0.0,0.0,0,20.842219591140747
Low SNR (σ=0.5),0.5,1,UniLasso,1.221781906893463,0.98,0.30985915492957744,0.8099173553719008,71,3.109513759613037
Low SNR (σ=0.5),0.5,1,Soft Constraint,339.78421002488386,0.0,0.0,0.0,0,19.59393048286438
Low SNR (σ=0.5),0.5,1,Soft + Adaptive,341.53528684823823,0.0,0.0,0.0,0,28.648725509643555
Low SNR (σ=0.5),0.5,1,Soft + Group,340.17381091323904,0.0,0.0,0.0,0,15.828710317611694
Low SNR (σ=0.5),0.5,1,Full XLasso,342.5568494677004,0.0,0.0,0.0,0,28.06506633758545
Low SNR (σ=0.5),0.5,2,UniLasso,1.2608036458109795,1.0,0.3333333333333333,0.8,75,3.130927562713623
Low SNR (σ=0.5),0.5,2,Soft Constraint,282.92447885300254,0.0,0.0,0.0,0,29.58224892616272
Low SNR (σ=0.5),0.5,2,Soft + Adaptive,286.6944309066535,0.0,0.0,0.0,0,48.11304235458374
Low SNR (σ=0.5),0.5,2,Soft + Group,283.99672564206844,0.0,0.0,0.0,0,45.490317583084106
Low SNR (σ=0.5),0.5,2,Full XLasso,286.6944309066535,0.0,0.0,0.0,0,58.67183828353882
Low SNR (σ=0.5),0.5,3,UniLasso,1.2501489699427875,1.0,0.3333333333333333,0.8,75,3.146726608276367
Low SNR (σ=0.5),0.5,3,Soft Constraint,328.6081483168666,0.0,0.0,0.0,0,35.01380944252014
Low SNR (σ=0.5),0.5,3,Soft + Adaptive,328.69372584696885,0.0,0.0,0.0,0,43.98679208755493
Low SNR (σ=0.5),0.5,3,Soft + Group,328.5497140039201,0.0,0.0,0.0,0,41.29594302177429
Low SNR (σ=0.5),0.5,3,Full XLasso,329.7942735682775,0.0,0.0,0.0,0,52.721477031707764
Low SNR (σ=0.5),0.5,4,UniLasso,2.588165999076011,1.0,0.2857142857142857,0.8333333333333333,70,3.065094470977783
Low SNR (σ=0.5),0.5,4,Soft Constraint,429.7936102012667,0.04,0.3333333333333333,0.07547169811320754,3,5.753596782684326
Low SNR (σ=0.5),0.5,4,Soft + Adaptive,429.7936102012667,0.04,0.3333333333333333,0.07547169811320754,3,4.998703479766846
Low SNR (σ=0.5),0.5,4,Soft + Group,429.7936102012667,0.04,0.3333333333333333,0.07547169811320754,3,5.737577199935913
Low SNR (σ=0.5),0.5,4,Full XLasso,429.7936102012667,0.04,0.3333333333333333,0.07547169811320754,3,6.041095018386841
Low SNR (σ=0.5),0.5,5,UniLasso,1.4226641169069068,0.98,0.3,0.8166666666666667,70,3.0950582027435303
Low SNR (σ=0.5),0.5,5,Soft Constraint,296.0768842503148,0.0,0.0,0.0,0,37.60124945640564
Low SNR (σ=0.5),0.5,5,Soft + Adaptive,295.34816850224536,0.0,0.0,0.0,0,52.87185001373291
Low SNR (σ=0.5),0.5,5,Soft + Group,295.74194001835355,0.0,0.0,0.0,0,43.367079734802246
Low SNR (σ=0.5),0.5,5,Full XLasso,295.34816850224536,0.0,0.0,0.0,0,53.21487641334534
Low SNR (σ=0.5),0.5,6,UniLasso,1.6028975601848061,1.0,0.29577464788732394,0.8264462809917354,71,3.0193428993225098
Low SNR (σ=0.5),0.5,6,Soft Constraint,333.47775415337134,0.02,0.0,0.0392156862745098,1,38.602805852890015
Low SNR (σ=0.5),0.5,6,Soft + Adaptive,309.93253780559905,0.06,0.5,0.10714285714285712,6,44.98684740066528
Low SNR (σ=0.5),0.5,6,Soft + Group,333.47775415337134,0.02,0.0,0.0392156862745098,1,40.400232791900635
Low SNR (σ=0.5),0.5,6,Full XLasso,309.93253780559905,0.06,0.5,0.10714285714285712,6,50.14994931221008
Low SNR (σ=0.5),0.5,7,UniLasso,1.6154787164946105,1.0,0.2857142857142857,0.8333333333333333,70,3.0357158184051514
Low SNR (σ=0.5),0.5,7,Soft Constraint,336.867009957877,0.0,0.0,0.0,0,32.293922662734985
Low SNR (σ=0.5),0.5,7,Soft + Adaptive,342.3549158791595,0.0,0.0,0.0,0,41.20683574676514
Low SNR (σ=0.5),0.5,7,Soft + Group,336.867009957877,0.0,0.0,0.0,0,39.560264587402344
Low SNR (σ=0.5),0.5,7,Full XLasso,347.3588131469133,0.0,0.0,0.0,0,47.953174352645874
Low SNR (σ=0.5),0.5,8,UniLasso,1.428498011970766,1.0,0.3150684931506849,0.8130081300813009,73,3.241203784942627
Low SNR (σ=0.5),0.5,8,Soft Constraint,341.0995564304822,0.0,0.0,0.0,0,13.645070552825928
Low SNR (σ=0.5),0.5,8,Soft + Adaptive,341.0995564304822,0.0,0.0,0.0,0,16.60156559944153
Low SNR (σ=0.5),0.5,8,Soft + Group,341.0995564304822,0.0,0.0,0.0,0,14.276876449584961
Low SNR (σ=0.5),0.5,8,Full XLasso,339.99366835839305,0.0,0.0,0.0,0,15.129048824310303
Low SNR (σ=0.5),0.5,9,UniLasso,1.074681964532867,1.0,0.2753623188405797,0.8403361344537814,69,3.0616767406463623
Low SNR (σ=0.5),0.5,9,Soft Constraint,352.15348398856986,0.0,0.0,0.0,0,46.173505544662476
Low SNR (σ=0.5),0.5,9,Soft + Adaptive,352.20766046232836,0.0,0.0,0.0,0,55.66006112098694
Low SNR (σ=0.5),0.5,9,Soft + Group,352.15348398856986,0.0,0.0,0.0,0,44.83280801773071
Low SNR (σ=0.5),0.5,9,Full XLasso,352.2561291429205,0.0,0.0,0.0,0,63.385942220687866
Medium SNR (σ=1.0),1.0,0,UniLasso,2.303967153030926,1.0,0.29577464788732394,0.8264462809917354,71,3.1001319885253906
Medium SNR (σ=1.0),1.0,0,Soft Constraint,345.98948555228793,0.0,0.0,0.0,0,20.505427598953247
Medium SNR (σ=1.0),1.0,0,Soft + Adaptive,346.30093591541834,0.0,0.0,0.0,0,30.055346250534058
Medium SNR (σ=1.0),1.0,0,Soft + Group,345.98948555228793,0.0,0.0,0.0,0,17.855327606201172
Medium SNR (σ=1.0),1.0,0,Full XLasso,346.30093591541834,0.0,0.0,0.0,0,34.61327028274536
Medium SNR (σ=1.0),1.0,1,UniLasso,2.6032740256760154,0.98,0.36363636363636365,0.7716535433070867,77,3.071823835372925
Medium SNR (σ=1.0),1.0,1,Soft Constraint,332.8028655310443,0.0,0.0,0.0,0,30.731664896011353
Medium SNR (σ=1.0),1.0,1,Soft + Adaptive,330.8962862061456,0.02,0.0,0.0392156862745098,1,41.06531620025635
Medium SNR (σ=1.0),1.0,1,Soft + Group,332.2552083622345,0.0,0.0,0.0,0,34.27856731414795
Medium SNR (σ=1.0),1.0,1,Full XLasso,330.8962862061456,0.02,0.0,0.0392156862745098,1,43.00805354118347
Medium SNR (σ=1.0),1.0,2,UniLasso,2.2933495172318836,1.0,0.29577464788732394,0.8264462809917354,71,3.077723503112793
Medium SNR (σ=1.0),1.0,2,Soft Constraint,288.38315213717595,0.0,0.0,0.0,0,22.670173168182373
Medium SNR (σ=1.0),1.0,2,Soft + Adaptive,291.1618286083331,0.0,0.0,0.0,0,29.895970821380615
Medium SNR (σ=1.0),1.0,2,Soft + Group,289.4044251679898,0.0,0.0,0.0,0,19.448784589767456
Medium SNR (σ=1.0),1.0,2,Full XLasso,291.1618286083331,0.0,0.0,0.0,0,34.91034412384033
Medium SNR (σ=1.0),1.0,3,UniLasso,2.7855108063732397,1.0,0.2753623188405797,0.8403361344537814,69,3.2359888553619385
Medium SNR (σ=1.0),1.0,3,Soft Constraint,255.89420887867212,0.04,0.3333333333333333,0.07547169811320754,3,16.441752195358276
Medium SNR (σ=1.0),1.0,3,Soft + Adaptive,309.5502765692563,0.0,0.0,0.0,0,21.970918655395508
Medium SNR (σ=1.0),1.0,3,Soft + Group,,0.0,0.0,0.0,0,25.075091123580933
Medium SNR (σ=1.0),1.0,3,Full XLasso,309.5502765692563,0.0,0.0,0.0,0,22.354514360427856
Medium SNR (σ=1.0),1.0,4,UniLasso,2.79603574106411,1.0,0.3333333333333333,0.8,75,3.0148019790649414
Medium SNR (σ=1.0),1.0,4,Soft Constraint,354.1569548848145,0.02,0.0,0.0392156862745098,1,39.09790825843811
Medium SNR (σ=1.0),1.0,4,Soft + Adaptive,346.32068734708275,0.04,0.0,0.07692307692307693,2,40.36620569229126
Medium SNR (σ=1.0),1.0,4,Soft + Group,350.3591257842319,0.04,0.0,0.07692307692307693,2,37.017837047576904
Medium SNR (σ=1.0),1.0,4,Full XLasso,350.3591257842319,0.04,0.0,0.07692307692307693,2,44.92162370681763
Medium SNR (σ=1.0),1.0,5,UniLasso,2.8016253422898583,1.0,0.35064935064935066,0.7874015748031497,77,3.0399487018585205
Medium SNR (σ=1.0),1.0,5,Soft Constraint,369.17107704218927,0.0,1.0,0.0,1,33.406543254852295
Medium SNR (σ=1.0),1.0,5,Soft + Adaptive,380.0390209385263,0.0,0.0,0.0,0,45.66704797744751
Medium SNR (σ=1.0),1.0,5,Soft + Group,380.0722219552953,0.0,0.0,0.0,0,40.98886299133301
Medium SNR (σ=1.0),1.0,5,Full XLasso,380.0722219552953,0.0,0.0,0.0,0,57.281660318374634
Medium SNR (σ=1.0),1.0,6,UniLasso,2.1955461217591106,1.0,0.3150684931506849,0.8130081300813009,73,3.2659571170806885
Medium SNR (σ=1.0),1.0,6,Soft Constraint,311.4635733496245,0.1,0.375,0.1724137931034483,8,28.138019323349
Medium SNR (σ=1.0),1.0,6,Soft + Adaptive,274.89969033853396,0.18,0.4375,0.2727272727272727,16,44.81141400337219
Medium SNR (σ=1.0),1.0,6,Soft + Group,274.89969033853396,0.18,0.4375,0.2727272727272727,16,33.8298602104187
Medium SNR (σ=1.0),1.0,6,Full XLasso,274.89969033853396,0.18,0.4375,0.2727272727272727,16,40.684181690216064
Medium SNR (σ=1.0),1.0,7,UniLasso,2.7415185944479425,1.0,0.3055555555555556,0.819672131147541,72,3.056489944458008
